ind	time	species	percent_of_full_microbiome	percent_within_assigned_family
Giraffe_A	Day 1	Bacillaceae	0.00072061	0.121073999
Giraffe_A	Day 1	Bacteroidaceae	0.05383409	9.044939823
Giraffe_A	Day 1	Clostridiaceae	0.00678225	1.139519983
Giraffe_A	Day 1	Coriobacteriaceae	0.00572252	0.961469981
Giraffe_A	Day 1	Enterobacteriaceae	0.05684371	9.550601811
Giraffe_A	Day 1	Enterococcaceae	0.00008478	0.014244
Giraffe_A	Day 1	Lachnospiraceae	0.12988004	21.82180756
Giraffe_A	Day 1	Micrococcaceae	0.00008478	0.014244
Giraffe_A	Day 1	Mogibacteriaceae	0.0089017	1.49561997
Giraffe_A	Day 1	Planococcaceae	0.00364546	0.612491985
Giraffe_A	Day 1	Prevotellaceae	0.00004239	0.007122
Giraffe_A	Day 1	Rikenellaceae	0.01225043	2.058257961
Giraffe_A	Day 1	Ruminococcaceae	0.2720529	45.70899508
Giraffe_A	Day 1	S24-7	0.0069518	1.168007984
Giraffe_A	Day 1	Veillonellaceae	0.03001145	5.042375892
Giraffe_A	Day 1	Verrucomicrobiaceae	0.00737569	1.239227972
Giraffe_A	Day 2	Bacillaceae	0.00213266	0.293299234
Giraffe_A	Day 2	Bacteroidaceae	0.04905124	6.745882532
Giraffe_A	Day 2	Clostridiaceae	0.00426533	0.586598482
Giraffe_A	Day 2	Coriobacteriaceae	0.00399191	0.548996012
Giraffe_A	Day 2	Enterobacteriaceae	0.1221086	16.79326163
Giraffe_A	Day 2	Enterococcaceae	0	0
Giraffe_A	Day 2	Lachnospiraceae	0.18822114	25.88553809
Giraffe_A	Day 2	Micrococcaceae	0.00016405	0.022561485
Giraffe_A	Day 2	Mogibacteriaceae	0.01044458	1.436414227
Giraffe_A	Day 2	Planococcaceae	0.02362334	3.248853127
Giraffe_A	Day 2	Prevotellaceae	0.00005468	0.007520493
Giraffe_A	Day 2	Rikenellaceae	0.00694482	0.955102656
Giraffe_A	Day 2	Ruminococcaceae	0.29857276	41.06189366
Giraffe_A	Day 2	S24-7	0.00207798	0.285778748
Giraffe_A	Day 2	Veillonellaceae	0.00995243	1.368729786
Giraffe_A	Day 2	Verrucomicrobiaceae	0.00552305	0.759569833
Giraffe_A	Day 3	Bacillaceae	0.0014967	0.216047077
Giraffe_A	Day 3	Bacteroidaceae	0.04613955	6.660210089
Giraffe_A	Day 3	Clostridiaceae	0.00825764	1.191983906
Giraffe_A	Day 3	Coriobacteriaceae	0.00490297	0.707740438
Giraffe_A	Day 3	Enterobacteriaceae	0.04366226	6.302614916
Giraffe_A	Day 3	Enterococcaceae	0	0
Giraffe_A	Day 3	Lachnospiraceae	0.18775805	27.10273411
Giraffe_A	Day 3	Micrococcaceae	0.00211602	0.305445874
Giraffe_A	Day 3	Mogibacteriaceae	0.01140586	1.64642777
Giraffe_A	Day 3	Planococcaceae	0.01610239	2.324368619
Giraffe_A	Day 3	Prevotellaceae	0	0
Giraffe_A	Day 3	Rikenellaceae	0.00381916	0.551292555
Giraffe_A	Day 3	Ruminococcaceae	0.35084641	50.6444163
Giraffe_A	Day 3	S24-7	0.00123865	0.178797579
Giraffe_A	Day 3	Veillonellaceae	0.01021883	1.475080084
Giraffe_A	Day 3	Verrucomicrobiaceae	0.00479975	0.692840651
Giraffe_A	Day 4	Bacillaceae	0.00293895	0.453764181
Giraffe_A	Day 4	Bacteroidaceae	0.07360734	11.36473015
Giraffe_A	Day 4	Clostridiaceae	0.00659037	1.017531796
Giraffe_A	Day 4	Coriobacteriaceae	0.00734738	1.134410453
Giraffe_A	Day 4	Enterobacteriaceae	0.04648885	7.177724296
Giraffe_A	Day 4	Enterococcaceae	0	0
Giraffe_A	Day 4	Lachnospiraceae	0.14832792	22.90134067
Giraffe_A	Day 4	Micrococcaceae	0.00026718	0.041251293
Giraffe_A	Day 4	Mogibacteriaceae	0.00926215	1.430044684
Giraffe_A	Day 4	Planococcaceae	0.02088436	3.224475769
Giraffe_A	Day 4	Prevotellaceae	0	0
Giraffe_A	Day 4	Rikenellaceae	0.00734738	1.134410453
Giraffe_A	Day 4	Ruminococcaceae	0.29732377	45.90580955
Giraffe_A	Day 4	S24-7	0.00396313	0.611894116
Giraffe_A	Day 4	Veillonellaceae	0.0132698	2.048814023
Giraffe_A	Day 4	Verrucomicrobiaceae	0.01006368	1.553798549
