ind	time	species	percent_of_full_microbiome	percent_within_assigned_family
Springbok_A	Day 1	Bacillaceae	0.00257714	0.36
Springbok_A	Day 1	Bacteroidaceae	0.078428641	11.06
Springbok_A	Day 1	Clostridiaceae	0.011353347	1.6
Springbok_A	Day 1	Coriobacteriaceae	0.001114439	0.16
Springbok_A	Day 1	Enterobacteriaceae	0	0
Springbok_A	Day 1	Enterococcaceae	0.000417915	0.06
Springbok_A	Day 1	Lachnospiraceae	0.106359267	15
Springbok_A	Day 1	Micrococcaceae	0.119105663	16.8
Springbok_A	Day 1	Mogibacteriaceae	0.004945323	0.7
Springbok_A	Day 1	Planococcaceae	0.004388103	0.62
Springbok_A	Day 1	Prevotellaceae	0.008636902	1.22
Springbok_A	Day 1	Rikenellaceae	0.016925542	2.39
Springbok_A	Day 1	Ruminococcaceae	0.317336491	44.75
Springbok_A	Day 1	S24-7	0.028557498	4.03
Springbok_A	Day 1	Veillonellaceae	0.007592115	1.07
Springbok_A	Day 1	Verrucomicrobiaceae	0.001323396	0.19
Springbok_A	Day 2	Bacillaceae	0.000870494	0.12
Springbok_A	Day 2	Bacteroidaceae	0.128318759	18.03
Springbok_A	Day 2	Clostridiaceae	0.008823646	1.24
Springbok_A	Day 2	Coriobacteriaceae	0.000316543	0.04
Springbok_A	Day 2	Enterobacteriaceae	0.00474815	0.67
Springbok_A	Day 2	Enterococcaceae	0	0
Springbok_A	Day 2	Lachnospiraceae	0.109247023	15.35
Springbok_A	Day 2	Micrococcaceae	0.001701421	0.24
Springbok_A	Day 2	Mogibacteriaceae	0.006014324	0.85
Springbok_A	Day 2	Planococcaceae	0.026431369	3.71
Springbok_A	Day 2	Prevotellaceae	0.010683338	1.5
Springbok_A	Day 2	Rikenellaceae	0.024769517	3.48
Springbok_A	Day 2	Ruminococcaceae	0.321489336	45.18
Springbok_A	Day 2	S24-7	0.032801804	4.61
Springbok_A	Day 2	Veillonellaceae	0.017765995	2.5
Springbok_A	Day 2	Verrucomicrobiaceae	0.017528588	2.46
Springbok_A	Day 3	Bacillaceae	0.013968073	2.05
Springbok_A	Day 3	Bacteroidaceae	0.071892816	10.54
Springbok_A	Day 3	Clostridiaceae	0.005245154	0.77
Springbok_A	Day 3	Coriobacteriaceae	0.003477765	0.51
Springbok_A	Day 3	Enterobacteriaceae	0.008095781	1.19
Springbok_A	Day 3	Enterococcaceae	0.00022805	0.03
Springbok_A	Day 3	Lachnospiraceae	0.073261117	10.74
Springbok_A	Day 3	Micrococcaceae	0.001368301	0.2
Springbok_A	Day 3	Mogibacteriaceae	0.011345496	1.66
Springbok_A	Day 3	Planococcaceae	0.361288484	52.98
Springbok_A	Day 3	Prevotellaceae	0.005587229	0.82
Springbok_A	Day 3	Rikenellaceae	0.004218928	0.62
Springbok_A	Day 3	Ruminococcaceae	0.092360319	13.54
Springbok_A	Day 3	S24-7	0.020638541	3.03
Springbok_A	Day 3	Veillonellaceae	0.005017104	0.74
Springbok_A	Day 3	Verrucomicrobiaceae	0.003933866	0.58
Springbok_A	Day 4	Bacillaceae	0.01457008	1.8
Springbok_A	Day 4	Bacteroidaceae	0.000957658	0.12
Springbok_A	Day 4	Clostridiaceae	0.000615637	0.08
Springbok_A	Day 4	Coriobacteriaceae	0.001573295	0.19
Springbok_A	Day 4	Enterobacteriaceae	0.011833915	1.46
Springbok_A	Day 4	Enterococcaceae	0.00198372	0.25
Springbok_A	Day 4	Lachnospiraceae	0.006840413	0.85
Springbok_A	Day 4	Micrococcaceae	0.138107942	17.08
Springbok_A	Day 4	Mogibacteriaceae	0.004993502	0.62
Springbok_A	Day 4	Planococcaceae	0.612901019	75.8
Springbok_A	Day 4	Prevotellaceae	6.84E-05	0.01
Springbok_A	Day 4	Rikenellaceae	0.000136808	0.02
Springbok_A	Day 4	Ruminococcaceae	0.013201997	1.63
Springbok_A	Day 4	S24-7	0.000136808	0.02
Springbok_A	Day 4	Veillonellaceae	0.000547233	0.07
Springbok_A	Day 4	Verrucomicrobiaceae	6.84E-05	0.01
Springbok_A	Day 5	Bacillaceae	0.016329824	2
Springbok_A	Day 5	Bacteroidaceae	0.000499501	0.06
Springbok_A	Day 5	Clostridiaceae	0.000422654	0.05
Springbok_A	Day 5	Coriobacteriaceae	0.002997003	0.37
Springbok_A	Day 5	Enterobacteriaceae	0.004841313	0.59
Springbok_A	Day 5	Enterococcaceae	3.84E-05	0
Springbok_A	Day 5	Lachnospiraceae	0.006109275	0.75
Springbok_A	Day 5	Micrococcaceae	0.024782909	3.04
Springbok_A	Day 5	Mogibacteriaceae	0.003727042	0.46
Springbok_A	Day 5	Planococcaceae	0.748098056	91.63
Springbok_A	Day 5	Prevotellaceae	3.84E-05	0
Springbok_A	Day 5	Rikenellaceae	7.68E-05	0.01
Springbok_A	Day 5	Ruminococcaceae	0.007838316	0.96
Springbok_A	Day 5	S24-7	0.000115269	0.01
Springbok_A	Day 5	Veillonellaceae	0.000230539	0.03
Springbok_A	Day 5	Verrucomicrobiaceae	0.000268962	0.03
Springbok_A	Day 6	Bacillaceae	0.02261375	2.84
Springbok_A	Day 6	Bacteroidaceae	0.004177641	0.52
