Taxon	G1.16S.15.S72.L001.	G1.16S.2.S64.L001.	G3.13S.57.S7.L001.	G3.14S.57.S8.L001.	G1.16S.29.S76.L001.	G1.16S.57.S80.L001.	G1.3U.15.S12.L001.	G1.6S.57.S79.L001.	G2.10S.22.S93.L001.	G2.11S.8.S90.L001.	G2.9U.15.S32.L001.	G2.9U.22.S34.L001.	G2.9U.29.S36.L001.	G2.9U.43.S38.L001.	G2.9U.8.S30.L001.	G3.13S.29.S115.L001.	G3.14S.22.S114.L001.	G3.14S.8.S110.L001.	G1.6S.22.S73.L001.	G1.6S.43.S77.L001.	G1.7U.15.S11.L001.	G2.10S.43.S97.L001.	G2.10S.57.S99.L001.	G3.13S.8.S109.L001.	G1.6S.4.S65.L001.	G1.6S.8.S69.L001.	G2.10S.15.S91.L001.	G3.14S.43.S6.L001.	G2.11S.4.S86.L001.	G2.19U.29.S35.L001.	G3.13S.22.S113.L001.	G2.10S.8.S89.L001.	G2.11S.6.S88.L001.	G2.9U.4.S26.L001.	G3.14S.15.S112.L001.	G2.10S.4.S85.L001.	G2.10S.29.S95.L001.	G2.10S.0.S81.L001.	G1.6S.0.S61.L001.	G1.16S.6.S68.L001.	G3.13S.15.S111.L001.	G3.13S.43.S5.L001.	G1.7U.57.S19.L001.	G1.7U.8.S9.L001.	G1.7U.22.S13.L001.	G1.7U.6.S7.L001.	G1.7U.29.S15.L001.	G1.3U.4.S6.L001.	G1.3U.43.S18.L001.	G3.13S.6.S107.L001.	G3.14S.4.S106.L001.	G2.10S.6.S87.L001.	G3.14S.6.S108.L001.	G3.15U.6.S47.L001.	G2.11S.0.S82.L001.	G1.7U.2.S3.L001.	G2.19U.15.S31.L001.	G1.16S.0.S62.L001.	G2.11S.57.S100.L001.	G2.19U.57.S39.L001.	G1.16S.4.S66.L001.	G1.7U.0.S1.L001.	G3.14S.29.S116.L001.	G3.15U.0.S41.L001.	G3.15U.2.S43.L001.	G1.3U.0.S2.L001.	G3.18U.4.S46.L001.	G3.15U.43.S1.L001.	G1.6S.6.S67.L001.	G1.16S.43.S78.L001.	G2.11S.15.S92.L001.	G2.10S.2.S83.L001.	G1.16S.8.S70.L001.	G3.18U.57.S4.L001.	G2.19U.0.S21.L001.	G1.3U.8.S10.L001.	G3.18U.2.S44.L001.	G3.14S.2.S104.L001.	G2.11S.29.S96.L001.	G3.18U.0.S42.L001.	G1.3U.29.S16.L001.	G2.19U.4.S25.L001.	G1.3U.6.S8.L001.	G1.6S.29.S75.L001.	G2.11S.43.S98.L001.	G2.11S.22.S94.L001.	G3.18U.6.S48.L001.	G3.14S.0.S102.L001.	G3.18U.22.S54.L001.	G3.15U.57.S3.L001.	G1.6S.2.S63.L001.	G3.15U.4.S45.L001.	G2.11S.2.S84.L001.	G3.13S.4.S105.L001.	G2.9U.0.S22.L001.	G2.19U.2.S23.L001.	G2.9U.6.S28.L001.	G3.13S.0.S101.L001.	G2.19U.8.S29.L001.	G1.16S.22.S74.L001.	G3.18U.29.S56.L001.	G1.3U.2.S4.L001.	G2.9U.57.S40.L001.	G3.15U.8.S49.L001.	G1.7U.4.S5.L001.	G2.19U.22.S33.L001.	G3.18U.8.S50.L001.	G1.7U.43.S17.L001.	G1.3U.22.S14.L001.	G3.15U.29.S55.L001.	G3.15U.15.S51.L001.	G3.13S.2.S103.L001.	G1.16S.15.S9.L001.	G2.19U.43.S37.L001.	G2.19U.6.S27.L001.	G3.15U.22.S53.L001.	G3.18U.15.S52.L001.	G1.3U.57.S20.L001.	G2.9U.2.S24.L001.
Archaea;Euryarchaeota	0.0	4.7063253012e-05	0.0	1.68990283059e-05	0.0	4.52724268284e-05	0.0	0.0	0.0	3.24485690181e-05	0.0	0.0	0.0	3.92958189249e-05	0.0	7.12436771237e-05	0.0	0.000229937916762	0.0	0.0	0.0	3.04404736538e-05	0.0	0.000355397601066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87679015268e-05	4.06520590268e-05	7.53068755177e-05	0.0	5.46134731438e-05	0.0	0.000612119975515	0.0	0.0	3.1829901009e-05	0.0	7.62854091441e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00215160133548	0.000804181745074	8.12611734113e-05	0.000993088106777	0.000538979788258	0.00019813750743	0.000105769739278	2.48354650441e-05	0.00023423317913	0.0	0.0	6.5323186465e-05	4.7270148901e-05	6.89464975179e-05	0.00477825363678	0.00318081008521	0.000110283981252	0.00127650300445	9.42755863941e-06	0.0	0.0	0.0	0.00057645631068	0.0	0.0	0.000376569037657	0.0	0.00160605712975	0.00225624496374	0.0	0.00164730362407	0.0	3.78658790564e-05	0.0	0.0	0.0	0.0	0.00162792212021	0.00229628250481	0.0	0.0	0.0	0.00100297758972	0.0	7.41509713777e-05	0.00172501916688	0.000324886289799	3.40390768602e-05	0.00319250383515	0.0	0.0	8.4015963033e-05	8.34654870211e-05	0.0	0.000219538968167	3.2662660047e-05	0.0	0.000445616250139	0.0	0.0	0.0	0.000139571237159	0.00297148875348	0.0	0.0	0.0	0.0	0.000113804483897	0.0	0.0
Archaea;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44247001333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria	0.0	0.0	2.10048731306e-05	0.0	0.0	0.0	0.0	0.0	2.91120815138e-05	0.0	2.94464075383e-05	0.0	3.11885974488e-05	0.0	0.0	2.37478923746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1829901009e-05	0.0	0.0	0.0	3.6060726263e-05	0.0	0.0	0.0	5.70776255708e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.40785169029e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32955983219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000340506673931	0.0	0.0	0.0	0.0	0.0	9.75609756098e-05	0.000107596298687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria	0.128995394258	0.00884789156627	0.189737018988	0.289091677229	0.149130186076	0.197817869027	0.0437527528997	0.145779804728	0.145211062591	0.0605165812188	0.15980565371	0.284317484663	0.248822630446	0.20469192078	0.12694481267	0.206962882044	0.199205166418	0.0664520579444	0.0840103508455	0.19611288792	0.0788145525869	0.166265867097	0.204181639987	0.0523767214571	0.0219792147179	0.0818600075234	0.118554608201	0.267013601948	0.0472410304304	0.271720425363	0.190727655882	0.0752455911942	0.0696776291719	0.0618269448001	0.182609394248	0.0119876573551	0.153992253836	0.00240767190369	0.00121013052122	0.0231196054254	0.179425151988	0.26808873327	0.295300818797	0.0860457778101	0.256896613898	0.0445488872821	0.247405112316	0.0147621423819	0.218778538813	0.0784716211203	0.0625715257802	0.0354298716073	0.0612933979503	0.169740134745	0.00138696255201	0.00528848696388	0.236408791755	0.00146395736956	0.190601145038	0.227594088879	0.0292974491296	0.00278893878516	0.230694980695	0.000920256255973	0.00787907085327	0.00187482768128	0.0512780597154	0.519090806245	0.00302194772251	0.18144548344	0.0883998135447	0.0061286407767	0.0289382905328	0.427244714542	0.00242677824268	0.0741165433128	0.00378570609155	0.00721998388396	0.190207028058	0.00130050286111	0.17585523418	0.0213563557878	0.0233672316384	0.0259444801912	0.157365853659	0.123493651818	0.0843914827115	0.0032272078446	0.357044062438	0.527690766063	0.00527434786164	0.0136969127096	0.0117657901204	0.0322185970636	0.00274725274725	0.0111273554256	0.109946218259	0.00746299597827	0.120571454863	0.105512234472	0.336441923966	0.000918120357232	0.35472467709	0.246259996864	0.00509537496734	0.309500621285	0.122618738163	0.32645173454	0.187329440418	0.327439995888	0.359423849933	0.0233205446476	0.138292011019	0.296116050538	0.0355975485189	0.346051464064	0.124957323319	0.160432167975	0.0166648862301
Bacteria;Bacteroidetes	0.0404474148977	0.106692394578	0.191438413712	0.0802872834812	0.117904370941	0.0889829549313	0.220378799002	0.113373586845	0.119097525473	0.201148679343	0.188839811543	0.068032427695	0.073948164551	0.0873153096511	0.163713109607	0.153696359448	0.0860793729646	0.219984889794	0.112475176025	0.0918356588058	0.160906068362	0.125445191927	0.112245453555	0.167969791204	0.105364556481	0.0786191730085	0.119835097911	0.0640787974896	0.170596933614	0.0626130697613	0.163604809719	0.103177890875	0.166023009065	0.172264477747	0.0746076803599	0.12768630021	0.131573067183	0.361885329525	0.320684588123	0.165810384984	0.0997549097622	0.134366865541	0.0829985251488	0.143183086968	0.0714723594533	0.0684502289708	0.0560805577072	0.082252162342	0.059303652968	0.162384073204	0.113853577062	0.110149520559	0.17466433622	0.0147449470645	0.319496730731	0.129832354963	0.0551098969328	0.281431164724	0.142482279171	0.0588454178184	0.0904072900676	0.303947057433	0.0938017098731	0.315754079213	0.144566359286	0.383181692859	0.0725115974968	0.00158382985142	0.0204918936804	0.106407480768	0.100519411334	0.124908980583	0.145969081385	0.0443807241291	0.39	0.101462872233	0.148445566135	0.196196615633	0.126464178698	0.340471649038	0.0490016150345	0.146843878981	0.0528813559322	0.0486028127585	0.142146341463	0.135356143749	0.108680080745	0.250170669646	0.031416716064	0.000662779412809	0.13369858533	0.0922739382542	0.138301794053	0.133657125908	0.405698952211	0.225227420403	0.133909728368	0.272523736473	0.0645762399926	0.107233127185	0.0428061331653	0.156497788165	0.0716519374575	0.00849929433903	0.115691141887	0.0356986936226	0.169297040365	0.080552413273	0.0561636198245	0.00513953846945	0.0126172398392	0.133303242308	0.0423140495868	0.0722976134768	0.0966292134831	0.0047534541767	0.112325025606	0.0440322087453	0.236833671616
Bacteria;Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.40785169029e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi	0.0	0.0	0.00298269198454	0.00904098014364	0.0	2.26362134142e-05	0.0	9.63514902364e-05	0.0	0.0	0.000588928150766	0.00131463628396	0.0013411096903	0.00526563973593	0.000627921579572	0.00235104134508	0.00444334050891	6.56965476464e-05	6.01793344166e-05	0.0	0.0	0.0	0.0	0.000222123500666	0.0	2.89360224544e-05	0.0	0.008241574163	0.0	0.000352998279133	0.00146274947316	0.0	0.0	0.0	0.00168710834985	0.0	0.0	0.0	0.0	0.0	0.000445618614126	0.00209624288775	0.000559426333723	0.0	3.6060726263e-05	4.0170322166e-05	0.0	0.0	0.00353881278539	9.89241993323e-05	0.0	0.0	3.97235242711e-05	3.84985563041e-05	0.0	0.0	0.00067055755619	0.0	0.0057933478735	0.00489049542845	0.0	0.0	0.0073083287369	3.53944713836e-05	2.9181743901e-05	0.0	0.0	0.00156497473414	0.0	0.0	0.000299660384897	0.0	0.0	0.00115552512197	0.0	0.000799193856632	0.0	3.22320709106e-05	0.00224734404794	8.67001907404e-05	0.000183526648069	0.0	0.0	0.0	0.00126829268293	0.000968366688186	6.51168848082e-05	0.0	0.000724494500428	0.00198044800732	0.0	0.0	0.0	0.0	0.0	0.0	6.80781537205e-05	0.000829221775364	9.20217171252e-05	0.0	0.0010081915564	0.0	0.00231135282121	0.000627254194762	0.0	0.000436578567351	0.000445616250139	0.0	8.80307520761e-05	0.00179883846431	0.00265185350603	0.000752275633792	0.0	0.00407112774918	0.0	0.00234503739384	0.00034141345169	0.0	0.0
Bacteria;Cyanobacteria	0.0	4.7063253012e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6060726263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97235242711e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44641418211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70754856889e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.86871680507e-05	0.0	0.0	0.0	0.0	2.33972859148e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21171634121e-05	5.82241630277e-05	6.48971380362e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78388786567e-05	0.0	0.0	8.88494002665e-05	0.0	0.0	3.12314563228e-05	0.0	0.0	0.0	2.47923639519e-05	2.95893005089e-05	0.00012195617708	0.0	0.0	0.000300374102291	3.72411738418e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000487567040468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fibrobacteres	0.0	0.000329442771084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71348329851e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000172875788746	0.000102753801891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47310498331e-05	0.000618601342365	0.0	7.94470485421e-05	3.84985563041e-05	0.0	0.000475963826749	0.0	0.00111260760087	0.0	0.0	0.00013064637293	0.00193807610494	0.0	0.00403496973773	0.00163417765846	0.000385993934381	6.22684392416e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000344155099231	0.000870265914585	0.0	0.00104040228889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136535716502	0.0	0.0	0.0	0.000814919291647	0.0	0.0	0.00159723996933	0.0	0.0	0.000207305443841	0.0	0.0	0.0	8.34654870211e-05	0.0	0.0	0.000163313300235	0.0	0.0	0.0	0.0	0.0	0.000111656989728	7.52275633792e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000961435744044
