TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,706996,503422,701003,499357,703942,501354,,,,0.99193,,,True,,2,,,,,,
201174,Actinobacteria,phylum,411216,278400,391803,265962,400644,271714,,,,0.95532,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,411046,278286,390835,265301,399457,270889,,,,0.95334,,,True,,2,201174.00000,1760.00000,,,,
85006,Micrococcales,order,378218,254233,294700,198300,327462,220302,,,,0.77999,,,True,,2,201174.00000,1760.00000,85006.00000,,,
1268,Micrococcaceae,family,348953,233277,248639,166468,284679,190550,,,,0.71361,,,True,,2,201174.00000,1760.00000,85006.00000,1268.00000,,
1224,Proteobacteria,phylum,219465,169800,203762,158978,210993,163960,,,,0.93627,,,True,,2,1224.00000,,,,,
28211,Alphaproteobacteria,class,207441,161447,198740,155269,202349,157826,,,,0.96173,,,True,,2,1224.00000,28211.00000,,,,
356,Rhizobiales,order,202170,157656,193508,151207,196667,153578,,,,0.95909,,,True,,2,1224.00000,28211.00000,356.00000,,,
45401,Hyphomicrobiaceae,family,197291,154073,188427,147385,191674,149843,,,,0.95659,,,True,,2,1224.00000,28211.00000,356.00000,45401.00000,,
46913,Devosia,genus,196857,153755,186802,146154,190338,148835,46951.00000,36919.00000,0.78633,0.95056,0.96830,False,True,0.51262,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,
2499144,Devosia sp. 1566,species,194652,152057,180931,141690,185585,145212,99422.00000,94906.00000,0.95458,0.93182,0.00000,True,True,0.09880,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,2499144.00000
1663,Arthrobacter,genus,302617,200771,138220,93433,192581,129228,161095.00000,142339.00000,0.88357,0.46537,1.00000,False,True,0.94369,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,1663.00000
1239,Firmicutes,phylum,90238,64891,87166,62694,88469,63632,,,,0.96614,,,True,,2,1239.00000,,,,,
91061,Bacilli,class,87622,63000,85110,61189,86157,61944,,,,0.97125,,,True,,2,1239.00000,91061.00000,,,,
1385,Bacillales,order,86981,62526,83909,60309,85163,61217,,,,0.96454,,,True,,2,1239.00000,91061.00000,1385.00000,,,
186817,Bacillaceae,family,72589,51874,62680,44512,67039,47758,,,,0.85808,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,,
1461584,Arthrobacter saudimassiliensis,species,126781,82240,52383,35092,67518,44837,98517.00000,89674.00000,0.91024,0.42670,1.00000,False,True,1.10937,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,1461584.00000
