taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,949404,635104,931118,623488,940235,629279,2,,,,,,
1224,Proteobacteria,phylum,683870,449768,654061,430667,667872,439554,2,1224,,,,,
28211,Alphaproteobacteria,class,485722,324406,455947,305462,468498,313488,2,1224,28211,,,,
356,Rhizobiales,order,453576,302497,416933,278894,430792,287844,2,1224,28211,356,,,
45401,Hyphomicrobiaceae,family,421081,281119,390647,261665,401262,268460,2,1224,28211,356,45401,,
46913,Devosia,genus,417687,278855,383212,256828,395026,264408,2,1224,28211,356,45401,46913,
2499144,Devosia sp. 1566,species,392890,262781,357665,240331,369183,247735,2,1224,28211,356,45401,46913,2499144
201174,Actinobacteria,phylum,262944,183064,249089,173965,255544,178216,2,201174,,,,,
1760,Actinobacteria,class,262157,182535,247551,172886,253616,176927,2,201174,1760,,,,
28216,Betaproteobacteria,class,182678,113343,140074,86750,158566,98326,2,1224,28216,,,,
80840,Burkholderiales,order,176410,109621,126128,78595,145467,90554,2,1224,28216,80840,,,
85006,Micrococcales,order,157903,108871,115581,80274,130818,90587,2,201174,1760,85006,,,
85016,Cellulomonadaceae,family,92167,62774,55360,38028,67437,46169,2,201174,1760,85006,85016,,
1707,Cellulomonas,genus,86311,58799,51266,35233,61165,41913,2,201174,1760,85006,85016,1707,
506,Alcaligenaceae,family,69225,41343,35889,22019,46775,28289,2,1224,28216,80840,506,,
80864,Comamonadaceae,family,68632,45801,29932,20748,42171,28763,2,1224,28216,80840,80864,,
28056,Micromonosporaceae,family,45557,32125,29884,21275,34610,24573,2,201174,1760,85008,28056,,
85008,Micromonosporales,order,45557,32125,29884,21275,35041,24865,2,201174,1760,85008,,,
1236,Gammaproteobacteria,class,55689,36960,28195,19809,39827,27070,2,1224,1236,,,,
85030,Geodermatophilaceae,family,40253,27819,25038,17462,29745,20681,2,201174,1760,1643682,85030,,
1643682,Geodermatophilales,order,40253,27819,25038,17462,30153,20956,2,201174,1760,1643682,,,
1711,Cellulomonas flavigena,species,56087,37814,24722,16951,33070,22528,2,201174,1760,85006,85016,1707,1711
85023,Microbacteriaceae,family,46369,32716,24609,17962,30806,22206,2,201174,1760,85006,85023,,
72274,Pseudomonadales,order,36052,24863,21999,15995,26828,19067,2,1224,1236,72274,,,
135621,Pseudomonadaceae,family,35659,24602,21740,15814,25886,18467,2,1224,1236,72274,135621,,
75682,Oxalobacteraceae,family,45998,26589,20553,11646,28605,16320,2,1224,28216,80840,75682,,
286,Pseudomonas,genus,35230,24307,19110,13898,23826,17024,2,1224,1236,72274,135621,286,286
33882,Microbacterium,genus,32011,22886,19046,13919,22244,16156,2,201174,1760,85006,85023,33882,
1873,Micromonospora,genus,36906,26113,17041,12207,23283,16611,2,201174,1760,85008,28056,1873,
222,Achromobacter,genus,38479,23672,14420,9757,21074,13622,2,1224,28216,80840,506,222,
204457,Sphingomonadales,order,25787,17738,13700,9721,17871,12509,2,1224,28211,204457,,,
1239,Firmicutes,phylum,14672,10154,12565,8781,13425,9344,2,1239,,,,,
91061,Bacilli,class,13292,9193,11696,8162,12258,8532,2,1239,91061,,,,
1385,Bacillales,order,12869,8891,11474,8009,11913,8291,2,1239,91061,1385,,,
119060,Burkholderiaceae,family,45998,27432,10938,6429,22051,13026,2,1224,28216,80840,119060,,
1268,Micrococcaceae,family,26092,17527,10668,7184,15010,10100,2,201174,1760,85006,1268,,
41297,Sphingomonadaceae,family,21999,15182,8762,6263,12991,9152,2,1224,28211,204457,41297,,
517,Bordetella,genus,36904,21170,8139,4657,15978,9167,2,1224,28216,80840,506,517,
85009,Propionibacteriales,order,28487,19733,7631,5463,14244,9994,2,201174,1760,85009,,,
38501,Blastococcus,genus,22551,15450,7628,5331,12336,8548,2,201174,1760,1643682,85030,38501,
138336,Blastococcus saxobsidens,species,22549,15449,7628,5331,11949,8288,2,201174,1760,1643682,85030,38501,138336
85015,Nocardioidaceae,family,24802,17187,7045,5047,11675,8212,2,201174,1760,85009,85015,,
2541726,Microbacterium sp. dk512,species,13669,9686,7045,5080,9196,6577,2,201174,1760,85006,85023,33882,2541726
186822,Paenibacillaceae,family,7927,5419,7034,4877,7289,5033,2,1239,91061,1385,186822,,
316,Pseudomonas stutzeri,species,17103,12443,7000,5279,9289,6943,2,1224,1236,72274,135621,286,316
44249,Paenibacillus,genus,7623,5207,6782,4689,7024,4838,2,1239,91061,1385,186822,44249,
2566013,Cellulomonas sp. Z28,species,29725,19880,6517,4508,12308,8376,2,201174,1760,85006,85016,1707,2566013
217203,Achromobacter spanius,species,20916,13576,6332,4621,9131,6443,2,1224,28216,80840,506,222,217203
2599292,Devosia sp. Gsoil 520,species,24768,15794,6278,4115,12199,7898,2,1224,28211,356,45401,46913,2599292
1663,Arthrobacter,genus,17378,11624,5736,3858,8846,5928,2,201174,1760,85006,1268,1663,
85007,Corynebacteriales,order,26037,17907,5669,4071,12113,8454,2,201174,1760,85007,,,
94132,Ramlibacter tataouinensis,species,22378,15677,5332,3818,8449,6017,2,1224,28216,80840,80864,174951,94132
174951,Ramlibacter,genus,22378,15677,5332,3818,9296,6608,2,1224,28216,80840,80864,174951,
204441,Rhodospirillales,order,18194,12014,4970,3408,9253,6210,2,1224,28211,204441,,,
88138,Modestobacter,genus,18115,12397,4832,3369,8761,6063,2,201174,1760,1643682,85030,88138,
477641,Modestobacter marinus,species,18079,12369,4818,3358,8390,5808,2,201174,1760,1643682,85030,88138,477641
82115,Rhizobiaceae,family,21640,14023,4779,3186,9896,6477,2,1224,28211,356,82115,,
