taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,55782,28007,50399,25490,52745,26621,2,,,,,,
1239,Firmicutes,phylum,45396,22938,44279,22424,44727,22636,2,1239,,,,,
91061,Bacilli,class,43762,22081,42832,21662,43198,21830,2,1239,91061,,,,
1385,Bacillales,order,42566,21600,41820,21262,42116,21398,2,1239,91061,1385,,,
186817,Bacillaceae,family,37761,19076,37028,18745,37322,18881,2,1239,91061,1385,186817,,
1386,Bacillus,genus,37581,18986,36810,18628,37115,18773,2,1239,91061,1385,186817,1386,
2759,Eukaryota,superkingdom,21836,9731,16850,7176,19143,8350,2759,,,,,,
7711,Chordata,phylum,17999,7840,13454,5565,14836,6241,2759,7711,,,,,
40674,Mammalia,class,17596,7618,13263,5473,14477,6055,2759,7711,40674,,,,
9443,Primates,order,16026,6790,12337,5073,13369,5539,2759,7711,40674,9443,,,
9604,Hominidae,family,15955,6758,9471,3951,11636,4855,2759,7711,40674,9443,9604,,
1408,Bacillus pumilus,species,30919,15615,9453,5085,15731,8192,2,1239,91061,1385,186817,1386,1408
9605,Homo,genus,15800,6668,6979,2994,9871,4159,2759,7711,40674,9443,9604,9605,
9606,Homo sapiens,species,15800,6668,6979,2994,9787,4118,2759,7711,40674,9443,9604,9605,9606
186822,Paenibacillaceae,family,4364,2329,4251,2268,4298,2291,2,1239,91061,1385,186822,,
44249,Paenibacillus,genus,4296,2293,4200,2241,4237,2260,2,1239,91061,1385,186822,44249,
1224,Proteobacteria,phylum,7859,3794,3681,1848,4869,2388,2,1224,,,,,
528191,Paenibacillus xylanexedens,species,3847,2057,2544,1376,3157,1696,2,1239,91061,1385,186822,44249,528191
201174,Actinobacteria,phylum,2302,1162,1758,887,2014,1015,2,201174,,,,,
1760,Actinobacteria,class,2288,1155,1747,883,1997,1006,2,201174,1760,,,,
1236,Gammaproteobacteria,class,5493,2647,1569,806,2611,1270,2,1224,1236,,,,
