TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,30361,15417,29231,14853,29752,15115,,,,0.96342,,,True,,2,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
1239,Firmicutes,phylum,20266,9890,19611,9550,19867,9685,,,,0.96562,,,True,,2,1239.00000,,,,,
91061,Bacilli,class,19477,9485,18821,9144,19071,9274,,,,0.96405,,,True,,2,1239.00000,91061.00000,,,,
1385,Bacillales,order,19311,9401,18530,9003,18836,9158,,,,0.95766,,,True,,2,1239.00000,91061.00000,1385.00000,,,
186817,Bacillaceae,family,13957,6554,11570,5327,12601,5847,,,,0.81279,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,,
201174,Actinobacteria,phylum,8625,4847,7940,4490,8236,4642,,,,0.92635,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,8613,4841,7927,4482,8212,4629,,,,0.92584,,,True,,2,201174.00000,1760.00000,,,,
85006,Micrococcales,order,7623,4323,5986,3413,6620,3764,,,,0.78950,,,True,,2,201174.00000,1760.00000,85006.00000,,,
1268,Micrococcaceae,family,7102,4027,5082,2903,5799,3300,,,,0.72088,,,True,,2,201174.00000,1760.00000,85006.00000,1268.00000,,
2651279,Pradoshia,genus,4803,2283,4711,2237,4742,2253,4382.00000,4308.00000,0.98311,0.97985,0.00000,True,True,0.02422,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,
2651284,Pradoshia sp. D12,species,4803,2283,4711,2237,4735,2249,44072.00000,43171.00000,0.97956,0.97985,0.00000,True,True,0.00209,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,2651284.00000
186822,Paenibacillaceae,family,4003,2143,3830,2053,3893,2085,,,,0.95800,,,True,,2,1239.00000,91061.00000,1385.00000,186822.00000,,
