TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,1488899,1270515,1384466,1184127,1431289,1223748,,,,0.93201,,,True,,2,,,,,,
74201,Verrucomicrobia,phylum,532397,439874,524992,433979,528090,436460,,,,0.98660,,,True,,2,74201.00000,,,,,
48461,Verrucomicrobiales,order,532029,439562,524631,433700,527438,435946,,,,0.98666,,,True,,2,74201.00000,203494.00000,48461.00000,,,
203494,Verrucomicrobiae,class,532029,439562,524631,433700,527544,436032,,,,0.98666,,,True,,2,74201.00000,203494.00000,,,,
1647988,Akkermansiaceae,family,531952,439507,524500,433611,527227,435789,,,,0.98658,,,True,,2,74201.00000,203494.00000,48461.00000,1647988.00000,,
239934,Akkermansia,genus,531952,439507,524500,433611,527137,435717,19401.00000,18857.00000,0.97196,0.98658,0.00000,True,True,0.10432,2,74201.00000,203494.00000,48461.00000,1647988.00000,239934.00000,
976,Bacteroidetes,phylum,520510,453595,488556,426121,503750,439204,,,,0.93943,,,True,,2,976.00000,,,,,
200643,Bacteroidia,class,517836,451438,483676,421908,499857,435907,,,,0.93459,,,True,,2,976.00000,200643.00000,,,,
171549,Bacteroidales,order,517742,451367,483560,421812,499698,435773,,,,0.93452,,,True,,2,976.00000,200643.00000,171549.00000,,,
239935,Akkermansia muciniphila,species,451855,369273,442719,362119,446004,364724,98275.00000,93272.00000,0.94909,0.98063,0.00000,True,True,0.17589,2,74201.00000,203494.00000,48461.00000,1647988.00000,239934.00000,239935.00000
815,Bacteroidaceae,family,448211,390034,403636,351549,423088,368338,,,,0.90133,,,True,,2,976.00000,200643.00000,171549.00000,815.00000,,
816,Bacteroides,genus,448286,390084,403635,351548,422892,368162,112623.00000,94903.00000,0.84266,0.90121,0.00000,True,True,0.17630,2,976.00000,200643.00000,171549.00000,815.00000,816.00000,816.00000
1239,Firmicutes,phylum,174202,144479,140271,121216,152130,130262,,,,0.83899,,,True,,2,1239.00000,,,,,
1224,Proteobacteria,phylum,222256,191802,112423,100342,143971,127218,,,,0.52315,,,True,,2,1224.00000,,,,,
186801,Clostridia,class,136827,117507,112018,96864,121681,104942,,,,0.82433,,,True,,2,1239.00000,186801.00000,,,,
186802,Clostridiales,order,136206,117009,111317,96290,120668,104105,,,,0.82293,,,True,,2,1239.00000,186801.00000,186802.00000,,,
2094242,Victivallales bacterium CCUG 44730,species,108537,95970,106473,94152,107050,94659,99505.00000,98359.00000,0.98848,0.98106,0.00000,True,True,0.06110,2,256845.00000,1313211.00000,278082.00000,2094242.00000,2094242.00000,2094242.00000
2157,Archaea,superkingdom,110189,92771,109328,92037,109731,92381,,,,0.99209,,,True,,2157,,,,,,
28890,Euryarchaeota,phylum,110117,92713,109281,92000,109622,92288,,,,0.99231,,,True,,2157,28890.00000,,,,,
183925,Methanobacteria,class,109711,92354,109038,91786,109337,92038,,,,0.99385,,,True,,2157,28890.00000,183925.00000,,,,
