TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,54566,53501,50610,49677,52510,51518,,,,0.92852,,,True,,2,,,,,,
1224,Proteobacteria,phylum,40663,39894,37085,36423,38446,37745,,,,0.91299,,,True,,2,1224.00000,1224.00000,1224.00000,1224.00000,1224.00000,1224.00000
2759,Eukaryota,superkingdom,48655,40317,44293,36161,46407,38174,,,,0.89692,,,True,,2759,,,,,,
1236,Gammaproteobacteria,class,35870,35201,32864,32282,33972,33359,,,,0.91708,,,True,,2,1224.00000,1236.00000,,,,
72274,Pseudomonadales,order,33621,33020,31221,30666,32214,31639,,,,0.92871,,,True,,2,1224.00000,1236.00000,72274.00000,,,
468,Moraxellaceae,family,32808,32227,30695,30154,31576,31017,,,,0.93568,,,True,,2,1224.00000,1236.00000,72274.00000,468.00000,,
469,Acinetobacter,genus,32680,32102,30368,29832,31318,30764,123544.00000,106026.00000,0.85820,0.92929,0.00000,True,True,0.23384,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,469.00000
7711,Chordata,phylum,37727,32648,34168,29636,35420,30637,,,,0.90774,,,True,,2759,7711.00000,,,,,
40674,Mammalia,class,32731,31864,29709,29025,30680,29923,,,,0.91090,,,True,,2759,7711.00000,40674.00000,,,,
9779,Proboscidea,order,25414,24826,19846,19370,22294,21772,,,,0.78023,,,True,,2759,7711.00000,40674.00000,9779.00000,,,
9780,Elephantidae,family,25414,24826,19846,19370,22259,21737,,,,0.78023,,,True,,2759,7711.00000,40674.00000,9779.00000,9780.00000,,
9784,Loxodonta,genus,24834,24261,16917,16545,20099,19652,9653.00000,5484.00000,0.56811,0.68196,0.00000,True,True,0.23582,2759,7711.00000,40674.00000,9779.00000,9780.00000,9784.00000,
9785,Loxodonta africana,species,24830,24257,16836,16465,19666,19236,97388.00000,55448.00000,0.56935,0.67877,0.00000,True,True,0.22649,2759,7711.00000,40674.00000,9779.00000,9780.00000,9784.00000,9785.00000
1239,Firmicutes,phylum,8032,7855,5770,5640,6638,6492,,,,0.71801,,,True,,2,1239.00000,,,,,
9443,Primates,order,6150,5897,3191,3114,4082,3933,,,,0.52807,,,True,,2759,7711.00000,40674.00000,9443.00000,,,
186801,Clostridia,class,4862,4760,3149,3083,3770,3693,,,,0.64769,,,True,,2,1239.00000,186801.00000,,,,
186802,Clostridiales,order,4797,4692,3088,3023,3685,3608,,,,0.64429,,,True,,2,1239.00000,186801.00000,186802.00000,186802.00000,186802.00000,186802.00000
28216,Betaproteobacteria,class,4021,3942,3016,2960,3386,3322,,,,0.75089,,,True,,2,1224.00000,28216.00000,,,,
80840,Burkholderiales,order,3757,3683,2859,2805,3151,3092,,,,0.76161,,,True,,2,1224.00000,28216.00000,80840.00000,,,
976,Bacteroidetes,phylum,3846,3778,2592,2558,3051,3004,,,,0.67708,,,True,,2,976.00000,,,,,
35493,Streptophyta,phylum,5476,4831,2917,2353,3670,3079,,,,0.48706,,,True,,2759,35493.00000,,,,,
9604,Hominidae,family,5930,5681,2369,2309,3426,3291,,,,0.40644,,,True,,2759,7711.00000,40674.00000,9443.00000,9604.00000,,
80864,Comamonadaceae,family,2886,2830,2171,2126,2416,2367,,,,0.75124,,,True,,2,1224.00000,28216.00000,80840.00000,80864.00000,,
91061,Bacilli,class,3251,3174,2177,2119,2546,2483,,,,0.66761,,,True,,2,1239.00000,91061.00000,,,,
1608473,Acinetobacter sp. NCu2D-2,species,9868,9683,1878,1843,3319,3260,97504.00000,82617.00000,0.84732,0.19033,1.00000,False,True,1.43581,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,1608473.00000
1385,Bacillales,order,2773,2709,1849,1800,2153,2099,,,,0.66445,,,True,,2,1239.00000,91061.00000,1385.00000,,,
200643,Bacteroidia,class,2822,2775,1783,1763,2153,2124,,,,0.63532,,,True,,2,976.00000,200643.00000,,,,
9606,Homo sapiens,species,5800,5551,1794,1756,2797,2681,94688.00000,29222.00000,0.30861,0.31634,0.00000,True,True,0.01667,2759,7711.00000,40674.00000,9443.00000,9604.00000,9605.00000,9606.00000
9605,Homo,genus,5800,5551,1794,1756,2919,2798,9361.00000,2888.00000,0.30851,0.31634,0.00000,True,True,0.01688,2759,7711.00000,40674.00000,9443.00000,9604.00000,9605.00000,
171549,Bacteroidales,order,2785,2741,1755,1736,2115,2088,,,,0.63335,,,True,,2,976.00000,200643.00000,171549.00000,,,
201174,Actinobacteria,phylum,2452,2403,1561,1527,1902,1862,,,,0.63546,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,2118,2078,1352,1323,1615,1582,,,,0.63667,,,True,,2,201174.00000,1760.00000,,,,
283,Comamonas,genus,2186,2143,1286,1261,1555,1524,8664.00000,7492.00000,0.86473,0.58843,1.00000,False,True,0.63974,2,1224.00000,28216.00000,80840.00000,80864.00000,283.00000,
72025,Fabales,order,3128,3058,1232,1210,1692,1656,,,,0.39568,,,True,,2759,35493.00000,72025.00000,72025.00000,,,
186803,Lachnospiraceae,family,1996,1963,1096,1076,1381,1357,,,,0.54814,,,True,,2,1239.00000,186801.00000,186802.00000,186803.00000,186803.00000,186803.00000
1324350,Acinetobacter equi,species,6106,5970,1035,1008,1782,1739,96909.00000,86921.00000,0.89693,0.16884,1.00000,False,True,1.64104,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,1324350.00000
2136182,Acinetobacter cumulans,species,7450,7299,880,870,1938,1905,90660.00000,54167.00000,0.59747,0.11919,1.00000,False,True,1.06200,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,2136182.00000
4890,Ascomycota,phylum,1673,1636,880,855,1095,1066,,,,0.52262,,,True,,2759,4890.00000,,,,,
171552,Prevotellaceae,family,1509,1484,848,840,1068,1055,,,,0.56604,,,True,,2,976.00000,200643.00000,171549.00000,171552.00000,,
838,Prevotella,genus,1418,1395,788,780,985,973,5447.00000,4523.00000,0.83037,0.55914,0.99998,False,True,0.60323,2,976.00000,200643.00000,171549.00000,171552.00000,838.00000,
108981,Acinetobacter schindleri,species,8824,8659,780,765,2186,2149,78718.00000,29892.00000,0.37974,0.08835,1.00000,False,True,0.72430,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,108981.00000
28090,Acinetobacter lwoffii,species,7840,7691,760,745,1912,1880,71045.00000,20413.00000,0.28732,0.09687,0.46605,False,True,0.49847,2,1224.00000,1236.00000,72274.00000,468.00000,469.00000,28090.00000
