taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,54566,53501,50610,49677,52510,51518,2,,,,,,
2759,Eukaryota,superkingdom,48655,40317,44293,36161,46407,38174,2759,,,,,,
1224,Proteobacteria,phylum,40663,39894,37085,36423,38446,37745,2,1224,1224,1224,1224,1224,1224
7711,Chordata,phylum,37727,32648,34168,29636,35420,30637,2759,7711,,,,,
1236,Gammaproteobacteria,class,35870,35201,32864,32282,33972,33359,2,1224,1236,,,,
72274,Pseudomonadales,order,33621,33020,31221,30666,32214,31639,2,1224,1236,72274,,,
468,Moraxellaceae,family,32808,32227,30695,30154,31576,31017,2,1224,1236,72274,468,,
469,Acinetobacter,genus,32680,32102,30368,29832,31318,30764,2,1224,1236,72274,468,469,469
40674,Mammalia,class,32731,31864,29709,29025,30680,29923,2759,7711,40674,,,,
9779,Proboscidea,order,25414,24826,19846,19370,22294,21772,2759,7711,40674,9779,,,
9780,Elephantidae,family,25414,24826,19846,19370,22259,21737,2759,7711,40674,9779,9780,,
9784,Loxodonta,genus,24834,24261,16917,16545,20099,19652,2759,7711,40674,9779,9780,9784,
9785,Loxodonta africana,species,24830,24257,16836,16465,19666,19236,2759,7711,40674,9779,9780,9784,9785
32630,synthetic construct,species,14336,6601,7147,462,9266,2170,32630,32630,32630,32630,32630,32630,32630
1239,Firmicutes,phylum,8032,7855,5770,5640,6638,6492,2,1239,,,,,
186623,Actinopteri,class,5579,1360,4084,242,4492,471,2759,7711,186623,,,,
7952,Cypriniformes,order,4697,492,3977,137,4210,195,2759,7711,186623,7952,,,
7953,Cyprinidae,family,4691,486,3977,137,4204,188,2759,7711,186623,7952,7953,,
7954,Danio,genus,4637,436,3972,133,4188,174,2759,7711,186623,7952,7953,7954,
7955,Danio rerio,species,4637,436,3972,133,4184,170,2759,7711,186623,7952,7953,7954,7955
9443,Primates,order,6150,5897,3191,3114,4082,3933,2759,7711,40674,9443,,,
