taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,342430,290344,303970,265440,320324,277211,2,,,,,,
1224,Proteobacteria,phylum,230707,192972,186844,163180,202023,175203,2,1224,,,,,
1236,Gammaproteobacteria,class,155646,128709,115030,100359,128807,111537,2,1224,1236,,,,
1239,Firmicutes,phylum,79264,60916,54279,47616,61086,52342,2,1239,,,,,
72274,Pseudomonadales,order,64802,56704,51629,45237,56411,49405,2,1224,1236,72274,,,
135614,Xanthomonadales,order,70621,60912,51573,44628,59117,51073,2,1224,1236,135614,,,
32033,Xanthomonadaceae,family,69722,60133,48127,41648,56311,48660,2,1224,1236,135614,32033,,
28216,Betaproteobacteria,class,79219,63633,46957,41079,57471,49745,2,1224,28216,,,,
468,Moraxellaceae,family,49983,43732,45202,39573,47004,41140,2,1224,1236,72274,468,,
80840,Burkholderiales,order,76174,60984,44514,38911,53736,46506,2,1224,28216,80840,,,
469,Acinetobacter,genus,49617,43411,44490,38951,46399,40612,2,1224,1236,72274,468,469,
91061,Bacilli,class,66365,49593,43760,38353,49085,41941,2,1239,91061,,,,
1385,Bacillales,order,53484,42274,38098,33307,41873,36202,2,1239,91061,1385,,,
80864,Comamonadaceae,family,52996,46280,37027,32354,42506,37133,2,1224,28216,80840,80864,,
976,Bacteroidetes,phylum,40878,35292,32927,28493,36151,31256,2,976,976,976,976,976,976
283,Comamonas,genus,42402,36997,22932,20014,28359,24740,2,1224,28216,80840,80864,283,
117743,Flavobacteriia,class,27534,23646,19708,16980,22704,19536,2,976,117743,117743,117743,117743,117743
200644,Flavobacteriales,order,27526,23642,19701,16975,22635,19476,2,976,117743,200644,,,
49546,Flavobacteriaceae,family,26353,22676,18862,16271,21567,18589,2,976,117743,200644,49546,,
40323,Stenotrophomonas,genus,55397,47667,18488,15996,30486,26322,2,1224,1236,135614,32033,40323,
186817,Bacillaceae,family,33605,29311,16288,14249,23404,20451,2,1239,91061,1385,186817,,
2759,Eukaryota,superkingdom,54396,38791,16000,14153,32316,25790,2759,,,,,,
225992,Comamonas kerstersii,species,26108,22743,11487,10028,15079,13149,2,1224,28216,80840,80864,283,225992
28211,Alphaproteobacteria,class,25831,18920,10736,9478,15526,13062,2,1224,28211,,,,
