Scientific_Name,NHCS-101ModernBison-xx-xx-xxx-2019-024-FW_S8,NHCS-102ModernBison-xx-xx-xxx-2019-024-FW_S9,NHCS-103ModernBison-xx-xx-xxx-2019-024-FW_S10,NHCS-151ModernBison-xx-xx-xxx-2019-024-FW_S12,NHCS-152ModernBison-xx-xx-xxx-2019-024-FW_S11
Ascobolus immersus,1.0408921933085502,0.0,1.0594795539033457,1.0795781399808246,1.1426131511528608
Prevotella sp. Sc00028,0.0,1.050420168067227,0.0,1.0583333333333333,1.0414847161572052
Carnobacterium maltaromaticum,0.0,0.0,0.0,0.0,1.0379310344827586
Bacteroides xylanisolvens,0.0,0.0,1.0394088669950738,1.0291666666666666,0.0
mixed culture bacterium PEN_P_1,0.0,1.0476190476190477,1.0,1.0492957746478873,1.0317460317460319
Lachnospiraceae bacterium,1.0301724137931034,1.024029574861368,1.0224719101123596,1.0365384615384616,1.0410958904109588
Methanobrevibacter,1.017380554141517,1.038211439786243,1.0265490748738464,1.0282990941921732,1.0284854393624687
Clostridium beijerinckii,0.0,0.0,0.0,0.0,1.026711185308848
Triticum aestivum,0.0,0.0,0.0,1.0275590551181102,1.0231481481481481
Clavibacter michiganensis,0.0,0.0,0.0,1.021356783919598,1.0277777777777777
Bacillus simplex,1.0160857908847185,0.0,1.0199004975124377,1.0325581395348837,1.029673590504451
Enterococcus mundtii,0.0,1.029475982532751,1.0170807453416149,0.0,0.0
Methanosphaera,0.0,1.0269594715229424,0.0,1.0203508771929826,1.0219298245614035
Populus,0.0,0.0,0.0,1.017748036077975,1.0280254777070064
Lysinibacillus sp. 2017,0.0,0.0,0.0,0.0,1.0224095000957671
Pradoshia sp. D12,1.0145681911956073,1.0201819104500918,1.0269027438681462,1.024311981732965,1.0235959370309609
Paenibacillus,0.0,0.0,1.0206616808213969,0.0,0.0
Escherichia,0.0,0.0,0.0,0.0,1.0203389830508474
Bos taurus,1.0146760343481656,1.0236046070117706,1.0236104279390064,1.0169210351692104,1.0226513182324546
Solibacillus silvestris,0.0,0.0,0.0,0.0,1.0175062522329403
Bos mutus,1.0164609053497942,1.0155125899280575,1.017351598173516,1.0204326923076923,1.0170157068062826
Escherichia coli,0.0,0.0,1.023102310231023,1.0114942528735633,0.0
Carnobacterium sp. 17-4,1.0157790927021697,1.0205789545891069,1.0170827858081473,0.0,1.0153846153846153
Enterococcus casseliflavus,0.0,1.0169133192389006,1.0171428571428571,0.0,0.0
Triticum,1.0072859744990892,0.0,1.0206611570247934,0.0,0.0
Populus trichocarpa,1.0131147540983607,0.0,0.0,0.0,0.0
Methanosphaera sp. BMS,1.013060760931289,0.0,0.0,0.0,0.0
