TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,65657,65389,63674,63445,64649,64407,,,,0.97027,,,True,,2,,,,,,
1224,Proteobacteria,phylum,58325,58081,54460,54257,56217,55999,,,,0.93416,,,True,,2,1224.00000,,,,,
28211,Alphaproteobacteria,class,51267,51060,45583,45401,47962,47769,,,,0.88917,,,True,,2,1224.00000,28211.00000,,,,
356,Rhizobiales,order,45415,45225,38156,37999,40858,40689,,,,0.84022,,,True,,2,1224.00000,28211.00000,356.00000,,,
45401,Hyphomicrobiaceae,family,37908,37733,31622,31480,33726,33574,,,,0.83428,,,True,,2,1224.00000,28211.00000,356.00000,45401.00000,,
46913,Devosia,genus,37329,37156,30546,30410,32719,32572,37206.00000,33888.00000,0.91082,0.81844,0.00000,True,True,0.27384,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,
2499144,Devosia sp. 1566,species,33505,33342,27107,26980,29019,28883,98148.00000,88337.00000,0.90004,0.80919,0.00000,True,True,0.26075,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,2499144.00000
201174,Actinobacteria,phylum,6837,6812,5103,5091,5881,5863,,,,0.74736,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,6779,6754,5073,5061,5715,5698,,,,0.74933,,,True,,2,201174.00000,1760.00000,,,,
28216,Betaproteobacteria,class,8684,8653,4733,4723,6307,6292,,,,0.54582,,,True,,2,1224.00000,28216.00000,,,,
80840,Burkholderiales,order,8227,8198,4253,4245,5586,5574,,,,0.51781,,,True,,2,1224.00000,28216.00000,80840.00000,,,
85006,Micrococcales,order,5246,5226,3667,3658,4202,4189,,,,0.69996,,,True,,2,201174.00000,1760.00000,85006.00000,,,
82115,Rhizobiaceae,family,6889,6872,3090,3089,4216,4211,,,,0.44951,,,True,,2,1224.00000,28211.00000,356.00000,82115.00000,,
204457,Sphingomonadales,order,5908,5889,3004,2997,4001,3991,,,,0.50891,,,True,,2,1224.00000,28211.00000,204457.00000,,,
506,Alcaligenaceae,family,4879,4868,2415,2412,3133,3128,,,,0.49548,,,True,,2,1224.00000,28216.00000,80840.00000,506.00000,,
41297,Sphingomonadaceae,family,5462,5445,2393,2387,3350,3342,,,,0.43838,,,True,,2,1224.00000,28211.00000,204457.00000,41297.00000,,
1525371,Neorhizobium,genus,3293,3292,2147,2147,2460,2460,9056.00000,7512.00000,0.82951,0.65219,0.00000,True,True,0.41022,2,1224.00000,28211.00000,356.00000,82115.00000,1525371.00000,
2060726,Neorhizobium sp. SOG26,species,2796,2796,2039,2039,2235,2235,91575.00000,75018.00000,0.81920,0.72926,0.00000,True,True,0.21609,2,1224.00000,28211.00000,356.00000,82115.00000,1525371.00000,2060726.00000
1239,Firmicutes,phylum,2372,2347,1808,1808,2025,2022,,,,0.77035,,,True,,2,1239.00000,,,,,
85023,Microbacteriaceae,family,3036,3025,1617,1616,2081,2077,,,,0.53421,,,True,,2,201174.00000,1760.00000,85006.00000,85023.00000,,
91061,Bacilli,class,1758,1733,1322,1322,1466,1464,,,,0.76284,,,True,,2,1239.00000,91061.00000,,,,
13687,Sphingomonas,genus,3918,3904,1265,1261,1984,1978,,,,0.32300,,,True,,2,1224.00000,28211.00000,204457.00000,41297.00000,13687.00000,
85017,Promicromonosporaceae,family,1857,1848,1243,1239,1451,1446,,,,0.67045,,,True,,2,201174.00000,1760.00000,85006.00000,85017.00000,,
1385,Bacillales,order,1642,1622,1225,1225,1356,1354,,,,0.75524,,,True,,2,1239.00000,91061.00000,1385.00000,,,
152267,Pigmentiphaga,genus,2265,2259,1206,1204,1489,1486,9624.00000,8697.00000,0.90368,0.53298,1.00000,False,True,0.87365,2,1224.00000,28216.00000,80840.00000,506.00000,152267.00000,
157920,Cellulosimicrobium,genus,1723,1716,1200,1196,1366,1361,15704.00000,12039.00000,0.76662,0.69697,0.00000,True,True,0.15751,2,201174.00000,1760.00000,85006.00000,85017.00000,157920.00000,
1940612,Pigmentiphaga aceris,species,1986,1981,1123,1121,1304,1302,97257.00000,87822.00000,0.90299,0.56588,1.00000,False,True,0.80519,2,1224.00000,28216.00000,80840.00000,506.00000,152267.00000,1940612.00000
33882,Microbacterium,genus,2463,2453,1100,1100,1498,1495,130851.00000,113115.00000,0.86446,0.44843,1.00000,False,True,0.92006,2,201174.00000,1760.00000,85006.00000,85023.00000,33882.00000,
2599292,Devosia sp. Gsoil 520,species,3707,3694,984,981,1787,1781,91579.00000,79389.00000,0.86689,0.26557,1.00000,False,True,1.31188,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,2599292.00000
1236,Gammaproteobacteria,class,3964,3930,705,703,1967,1956,,,,0.17888,,,True,,2,1224.00000,1236.00000,,,,
186817,Bacillaceae,family,1013,1013,608,608,765,765,,,,0.60020,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,,
2759,Eukaryota,superkingdom,2492,2441,553,552,1492,1477,,,,0.22614,,,True,,2759,,,,,,
2083786,Devosia sp. I507,species,2513,2503,550,550,1094,1092,98468.00000,87424.00000,0.88784,0.21974,1.00000,False,True,1.48282,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,2083786.00000
119060,Burkholderiaceae,family,2970,2955,536,533,1184,1180,,,,0.18037,,,True,,2,1224.00000,28216.00000,80840.00000,119060.00000,,
222,Achromobacter,genus,1961,1959,524,523,879,878,3588.00000,2605.00000,0.72603,0.26697,1.00000,False,True,0.95390,2,1224.00000,28216.00000,80840.00000,506.00000,222.00000,
204455,Rhodobacterales,order,3605,3582,464,460,1533,1522,,,,0.12842,,,True,,2,1224.00000,28211.00000,204455.00000,,,
76892,Caulobacteraceae,family,1558,1552,447,447,739,737,,,,0.28802,,,True,,2,1224.00000,28211.00000,204458.00000,76892.00000,,
204458,Caulobacterales,order,1558,1552,447,447,791,789,,,,0.28802,,,True,,2,1224.00000,28211.00000,204458.00000,,,
31989,Rhodobacteraceae,family,3465,3445,451,447,1257,1248,,,,0.12975,,,True,,2,1224.00000,28211.00000,204455.00000,31989.00000,,
186801,Clostridia,class,668,668,413,413,500,500,,,,0.61826,,,True,,2,1239.00000,186801.00000,,,,
186802,Clostridiales,order,656,656,409,409,486,486,,,,0.62348,,,True,,2,1239.00000,186801.00000,186802.00000,,,
7711,Chordata,phylum,712,682,340,340,464,461,,,,0.49853,,,True,,2759,7711.00000,,,,,
69277,Phyllobacteriaceae,family,3078,3061,331,330,1097,1092,,,,0.10781,,,True,,2,1224.00000,28211.00000,356.00000,69277.00000,,
41275,Brevundimonas,genus,943,940,327,327,482,481,,,,0.34787,,,True,,2,1224.00000,28211.00000,204458.00000,76892.00000,41275.00000,
40674,Mammalia,class,614,592,326,326,406,404,,,,0.55068,,,True,,2759,7711.00000,40674.00000,,,,
72274,Pseudomonadales,order,1818,1797,305,303,754,746,,,,0.16861,,,True,,2,1224.00000,1236.00000,72274.00000,,,
1386,Bacillus,genus,561,561,301,301,382,382,6006.00000,4732.00000,0.78788,0.53654,0.85906,False,True,0.54038,2,1239.00000,91061.00000,1385.00000,186817.00000,1386.00000,
9443,Primates,order,514,492,300,300,348,346,,,,0.60976,,,True,,2759,7711.00000,40674.00000,9443.00000,,,
135621,Pseudomonadaceae,family,1793,1772,301,299,669,661,,,,0.16874,,,True,,2,1224.00000,1236.00000,72274.00000,135621.00000,,
286,Pseudomonas,genus,1775,1754,292,290,614,607,,,,0.16534,,,True,,2,1224.00000,1236.00000,72274.00000,135621.00000,286.00000,286.00000
80864,Comamonadaceae,family,2120,2114,279,279,747,746,,,,0.13198,,,True,,2,1224.00000,28216.00000,80840.00000,80864.00000,,
186803,Lachnospiraceae,family,426,426,278,278,330,330,,,,0.65258,,,True,,2,1239.00000,186801.00000,186802.00000,186803.00000,,
41294,Bradyrhizobiaceae,family,2590,2574,264,263,848,843,,,,0.10218,,,True,,2,1224.00000,28211.00000,356.00000,41294.00000,,
379,Rhizobium,genus,2813,2805,263,263,879,877,,,,0.09376,,,True,,2,1224.00000,28211.00000,356.00000,82115.00000,379.00000,
698776,Cellulosilyticum,genus,371,371,253,253,292,292,,,,0.68194,,,True,,2,1239.00000,186801.00000,186802.00000,186803.00000,698776.00000,
68287,Mesorhizobium,genus,2347,2334,248,248,748,746,,,,0.10626,,,True,,2,1224.00000,28211.00000,356.00000,69277.00000,68287.00000,
517,Bordetella,genus,1833,1829,242,242,628,628,,,,0.13231,,,True,,2,1224.00000,28216.00000,80840.00000,506.00000,517.00000,
1736675,Devosia sp. A16,species,1356,1349,240,239,499,497,97811.00000,87545.00000,0.89504,0.17717,1.00000,False,True,1.61284,2,1224.00000,28211.00000,356.00000,45401.00000,46913.00000,1736675.00000
165695,Sphingobium,genus,1655,1649,226,225,582,580,,,,0.13645,,,True,,2,1224.00000,28211.00000,204457.00000,41297.00000,165695.00000,
400634,Lysinibacillus,genus,475,475,219,219,310,310,38694.00000,33686.00000,0.87057,0.46105,1.00000,False,True,0.91275,2,1239.00000,91061.00000,1385.00000,186817.00000,400634.00000,
204441,Rhodospirillales,order,2438,2429,213,213,890,887,,,,0.08769,,,True,,2,1224.00000,28211.00000,204441.00000,,,
217203,Achromobacter spanius,species,968,966,210,209,341,340,35973.00000,18679.00000,0.51925,0.21636,0.99991,False,True,0.64172,2,1224.00000,28216.00000,80840.00000,506.00000,222.00000,217203.00000
9604,Hominidae,family,512,490,207,207,285,284,,,,0.42245,,,True,,2759,7711.00000,40674.00000,9443.00000,9604.00000,,
186822,Paenibacillaceae,family,384,384,194,194,243,243,,,,0.50521,,,False,,2,1239.00000,91061.00000,1385.00000,186822.00000,,
28056,Micromonosporaceae,family,528,527,181,181,268,267,,,,0.34345,,,False,,2,201174.00000,1760.00000,85008.00000,28056.00000,,
85008,Micromonosporales,order,528,527,181,181,279,278,,,,0.34345,,,False,,2,201174.00000,1760.00000,85008.00000,,,
335929,Erythrobacteraceae,family,1616,1609,172,172,619,617,,,,0.10690,,,False,,2,1224.00000,28211.00000,204457.00000,335929.00000,,
32008,Burkholderia,genus,1367,1362,173,170,433,430,,,,0.12482,,,False,,2,1224.00000,28216.00000,80840.00000,119060.00000,32008.00000,
75682,Oxalobacteraceae,family,1435,1431,171,170,475,473,,,,0.11880,,,False,,2,1224.00000,28216.00000,80840.00000,75682.00000,,
