taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,80714,80351,78279,77999,79473,79169,2,,,,,,
201174,Actinobacteria,phylum,48174,47960,45253,45049,46625,46416,2,201174,,,,,
1760,Actinobacteria,class,48121,47907,45104,44900,46432,46224,2,201174,1760,,,,
85006,Micrococcales,order,45860,45649,38736,38553,41553,41360,2,201174,1760,85006,,,
85017,Promicromonosporaceae,family,44189,43982,33001,32853,37125,36956,2,201174,1760,85006,85017,,
157920,Cellulosimicrobium,genus,43936,43729,31913,31771,35982,35818,2,201174,1760,85006,85017,157920,
1224,Proteobacteria,phylum,27913,27782,24909,24855,26237,26168,2,1224,,,,,
28211,Alphaproteobacteria,class,22824,22768,19825,19775,21062,21009,2,1224,28211,,,,
356,Rhizobiales,order,21694,21639,17862,17814,19266,19215,2,1224,28211,356,,,
45401,Hyphomicrobiaceae,family,18123,18073,14855,14815,15934,15890,2,1224,28211,356,45401,,
46913,Devosia,genus,17839,17790,14287,14249,15424,15381,2,1224,28211,356,45401,46913,
2499144,Devosia sp. 1566,species,15688,15641,12493,12460,13461,13422,2,1224,28211,356,45401,46913,2499144
1239,Firmicutes,phylum,6532,6483,5481,5467,5912,5890,2,1239,,,,,
91061,Bacilli,class,4020,4012,3219,3216,3526,3522,2,1239,91061,,,,
1710,Cellulosimicrobium cellulans,species,41667,41470,3116,3103,19172,19084,2,201174,1760,85006,85017,157920,1710
1385,Bacillales,order,3774,3768,3004,3003,3284,3280,2,1239,91061,1385,,,
28216,Betaproteobacteria,class,5180,5118,2949,2948,3818,3809,2,1224,28216,,,,
80840,Burkholderiales,order,4884,4823,2740,2740,3442,3435,2,1224,28216,80840,,,
1980001,Cellulosimicrobium sp. TH-20,species,40016,39827,1984,1974,17880,17797,2,201174,1760,85006,85017,157920,1980001
186801,Clostridia,class,2829,2787,1970,1960,2293,2277,2,1239,186801,,,,
186802,Clostridiales,order,2794,2752,1927,1917,2237,2221,2,1239,186801,186802,,,
506,Alcaligenaceae,family,3082,3081,1808,1808,2196,2196,2,1224,28216,80840,506,,
186803,Lachnospiraceae,family,2072,2055,1379,1370,1616,1605,2,1239,186801,186802,186803,,
186817,Bacillaceae,family,1933,1932,1286,1285,1521,1520,2,1239,91061,1385,186817,,
186822,Paenibacillaceae,family,1660,1658,1205,1205,1361,1360,2,1239,91061,1385,186822,,
698776,Cellulosilyticum,genus,1566,1550,1095,1086,1241,1230,2,1239,186801,186802,186803,698776,
82115,Rhizobiaceae,family,3168,3164,1069,1068,1680,1678,2,1224,28211,356,82115,,
28056,Micromonosporaceae,family,2050,2044,994,994,1251,1249,2,201174,1760,85008,28056,,
85008,Micromonosporales,order,2050,2044,994,994,1309,1307,2,201174,1760,85008,,,
222,Achromobacter,genus,1878,1878,987,987,1244,1244,2,1224,28216,80840,506,222,
1386,Bacillus,genus,1398,1397,964,964,1095,1094,2,1239,91061,1385,186817,1386,
44249,Paenibacillus,genus,1328,1326,855,855,1015,1014,2,1239,91061,1385,186822,44249,
1873,Micromonospora,genus,1670,1665,725,725,974,973,2,201174,1760,85008,28056,1873,
217203,Achromobacter spanius,species,1362,1362,530,530,733,733,2,1224,28216,80840,506,222,217203
1236,Gammaproteobacteria,class,2439,2423,514,514,1244,1241,2,1224,1236,,,,
2599292,Devosia sp. Gsoil 520,species,1875,1871,478,477,890,888,2,1224,28211,356,45401,46913,2599292
85023,Microbacteriaceae,family,3775,3753,465,464,1355,1348,2,201174,1760,85006,85023,,
1525371,Neorhizobium,genus,956,956,418,418,549,549,2,1224,28211,356,82115,1525371,
152267,Pigmentiphaga,genus,776,775,381,381,485,485,2,1224,28216,80840,506,152267,
2759,Eukaryota,superkingdom,2685,2559,343,342,1472,1436,2759,,,,,,
1940612,Pigmentiphaga aceris,species,650,649,341,341,410,410,2,1224,28216,80840,506,152267,1940612
2060726,Neorhizobium sp. SOG26,species,579,579,323,323,378,378,2,1224,28211,356,82115,1525371,2060726
33882,Microbacterium,genus,2038,2028,287,287,651,648,2,201174,1760,85006,85023,33882,
2083786,Devosia sp. I507,species,1337,1334,284,284,570,569,2,1224,28211,356,45401,46913,2083786
31979,Clostridiaceae,family,754,750,271,270,423,421,2,1239,186801,186802,31979,,
1485,Clostridium,genus,675,671,250,249,367,365,2,1239,186801,186802,31979,1485,
1408,Bacillus pumilus,species,737,737,246,246,394,394,2,1239,91061,1385,186817,1386,1408
400634,Lysinibacillus,genus,497,497,242,242,330,330,2,1239,91061,1385,186817,400634,
69277,Phyllobacteriaceae,family,1754,1753,232,232,648,648,2,1224,28211,356,69277,,
119060,Burkholderiaceae,family,1523,1463,231,231,570,566,2,1224,28216,80840,119060,,
204455,Rhodobacterales,order,1840,1839,227,227,762,762,2,1224,28211,204455,,,
31989,Rhodobacteraceae,family,1782,1781,227,227,620,620,2,1224,28211,204455,31989,,
379,Rhizobium,genus,1637,1635,218,218,560,559,2,1224,28211,356,82115,379,
72274,Pseudomonadales,order,1082,1080,218,218,479,479,2,1224,1236,72274,,,
135621,Pseudomonadaceae,family,1021,1019,205,205,415,415,2,1224,1236,72274,135621,,
286,Pseudomonas,genus,1011,1009,187,187,380,380,2,1224,1236,72274,135621,286,
68287,Mesorhizobium,genus,1332,1332,179,179,443,443,2,1224,28211,356,69277,68287,
425254,Cellulosilyticum ruminicola,species,259,256,177,175,196,194,2,1239,186801,186802,186803,698776,425254
2169540,Lysinibacillus sp. 2017,species,330,330,173,173,220,220,2,1239,91061,1385,186817,400634,2169540
85016,Cellulomonadaceae,family,6062,6026,169,169,2141,2129,2,201174,1760,85006,85016,,
1736675,Devosia sp. A16,species,794,790,169,169,314,312,2,1224,28211,356,45401,46913,1736675
80864,Comamonadaceae,family,1030,1030,165,165,391,391,2,1224,28216,80840,80864,,
517,Bordetella,genus,1031,1031,147,147,387,387,2,1224,28216,80840,506,517,
41294,Bradyrhizobiaceae,family,1313,1312,146,145,429,428,2,1224,28211,356,41294,,
2062,Streptomycetaceae,family,2509,2500,139,139,770,768,2,201174,1760,85011,2062,2062,2062
85011,Streptomycetales,order,2507,2498,139,139,928,925,2,201174,1760,85011,,,
186818,Planococcaceae,family,435,435,136,136,249,249,2,1239,91061,1385,186818,,
1883,Streptomyces,genus,2458,2449,134,134,678,676,2,201174,1760,85011,2062,1883,
29360,Cellulosilyticum lentocellum,species,1222,1208,134,134,550,545,2,1239,186801,186802,186803,698776,29360
186826,Lactobacillales,order,458,454,130,130,244,243,2,1239,91061,186826,,,
329857,Cohnella,genus,234,234,126,126,162,162,2,1239,91061,1385,186822,329857,
204457,Sphingomonadales,order,1024,1019,122,122,391,390,2,1224,28211,204457,,,
85009,Propionibacteriales,order,1983,1971,119,119,722,718,2,201174,1760,85009,,,
204441,Rhodospirillales,order,1216,1215,119,119,445,445,2,1224,28211,204441,,,
75682,Oxalobacteraceae,family,693,693,116,116,258,258,2,1224,28216,80840,75682,,
1707,Cellulomonas,genus,3847,3826,111,111,1052,1047,2,201174,1760,85006,85016,1707,
