TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,31556,31378,30536,30476,31019,30919,,,,0.97125,,,True,,2,,,,,,
1224,Proteobacteria,phylum,15564,15421,13260,13237,14226,14182,,,,0.85837,,,True,,2,1224.00000,,,,,
1236,Gammaproteobacteria,class,12564,12538,9128,9110,10508,10487,,,,0.72659,,,True,,2,1224.00000,1236.00000,,,,
1239,Firmicutes,phylum,8598,8473,7470,7460,7910,7881,,,,0.88044,,,True,,2,1239.00000,,,,,
91061,Bacilli,class,8197,8073,7078,7068,7489,7466,,,,0.87551,,,True,,2,1239.00000,91061.00000,,,,
1385,Bacillales,order,7899,7775,6691,6681,7131,7111,,,,0.85929,,,True,,2,1239.00000,91061.00000,1385.00000,,,
976,Bacteroidetes,phylum,7437,7413,6596,6575,6946,6924,,,,0.88696,,,True,,2,976.00000,,,,,
117743,Flavobacteriia,class,6490,6468,5577,5559,5938,5918,,,,0.85946,,,True,,2,976.00000,117743.00000,117743.00000,117743.00000,117743.00000,117743.00000
200644,Flavobacteriales,order,6486,6464,5576,5558,5925,5905,,,,0.85984,,,True,,2,976.00000,117743.00000,200644.00000,,,
49546,Flavobacteriaceae,family,6470,6448,5547,5529,5890,5870,,,,0.85748,,,True,,2,976.00000,117743.00000,200644.00000,49546.00000,,
186817,Bacillaceae,family,6930,6920,5427,5418,6018,6008,,,,0.78295,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,,
135619,Oceanospirillales,order,6941,6928,4270,4264,5151,5143,,,,0.61547,,,True,,2,1224.00000,1236.00000,135619.00000,,,
28256,Halomonadaceae,family,6347,6338,4050,4044,4771,4764,,,,0.63806,,,True,,2,1224.00000,1236.00000,135619.00000,28256.00000,,
2745,Halomonas,genus,5352,5347,2696,2694,3516,3513,14402.00000,12817.00000,0.88995,0.50383,1.00000,False,True,0.88682,2,1224.00000,1236.00000,135619.00000,28256.00000,2745.00000,
84406,Virgibacillus,genus,2973,2969,2002,1999,2351,2347,41905.00000,39439.00000,0.94115,0.67329,1.00000,False,True,0.72681,2,1239.00000,91061.00000,1385.00000,186817.00000,84406.00000,
28211,Alphaproteobacteria,class,2850,2846,1146,1146,1775,1773,,,,0.40267,,,True,,2,1224.00000,28211.00000,,,,
1386,Bacillus,genus,2640,2637,1117,1117,1636,1634,,,,0.42359,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,1386.00000,
163877,Virgibacillus necropolis,species,1931,1928,1053,1050,1350,1347,98060.00000,90523.00000,0.92314,0.54461,1.00000,False,True,0.91963,2,1239.00000,91061.00000,1385.00000,186817.00000,84406.00000,163877.00000
201174,Actinobacteria,phylum,1825,1820,1006,1005,1356,1354,,,,0.55220,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,1767,1762,983,982,1257,1254,,,,0.55732,,,True,,2,201174.00000,1760.00000,,,,
135622,Alteromonadales,order,1948,1944,974,973,1270,1269,,,,0.50051,,,True,,2,1224.00000,1236.00000,135622.00000,,,
72274,Pseudomonadales,order,3557,3547,951,951,1791,1787,,,,0.26811,,,True,,2,1224.00000,1236.00000,72274.00000,,,
135621,Pseudomonadaceae,family,3407,3397,926,926,1676,1672,,,,0.27259,,,True,,2,1224.00000,1236.00000,72274.00000,135621.00000,,
28216,Betaproteobacteria,class,3333,3213,893,891,1821,1805,,,,0.27731,,,True,,2,1224.00000,28216.00000,,,,
286,Pseudomonas,genus,3331,3322,865,865,1539,1536,,,,0.26039,,,True,,2,1224.00000,1236.00000,72274.00000,135621.00000,286.00000,
2651279,Pradoshia,genus,923,921,734,732,804,802,3149.00000,2966.00000,0.94189,0.79479,0.03795,True,True,0.45333,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,
2651284,Pradoshia sp. D12,species,923,921,734,732,786,784,31652.00000,29781.00000,0.94089,0.79479,0.00504,True,True,0.44908,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,2651284.00000
267893,Idiomarinaceae,family,805,804,666,666,706,705,,,,0.82836,,,True,,2,1224.00000,1236.00000,135622.00000,267893.00000,,
135575,Idiomarina,genus,801,800,664,664,701,701,9316.00000,8527.00000,0.91531,0.83000,0.00000,True,True,0.25939,2,1224.00000,1236.00000,135622.00000,267893.00000,135575.00000,
80840,Burkholderiales,order,2625,2507,663,661,1197,1185,,,,0.26366,,,True,,2,1224.00000,28216.00000,80840.00000,,,
2759,Eukaryota,superkingdom,1609,1489,657,654,1105,1063,,,,0.43922,,,True,,2759,,,,,,
292691,Gramella,genus,1510,1504,636,636,906,904,,,,0.42287,,,True,,2,976.00000,117743.00000,200644.00000,49546.00000,292691.00000,
135577,Idiomarina loihiensis,species,700,699,520,520,574,574,94131.00000,79218.00000,0.84157,0.74392,0.00000,True,True,0.24245,2,1224.00000,1236.00000,135622.00000,267893.00000,135575.00000,135577.00000
237,Flavobacterium,genus,1238,1236,479,478,701,700,,,,0.38673,,,True,,2,976.00000,117743.00000,200644.00000,49546.00000,237.00000,
204455,Rhodobacterales,order,1099,1097,383,383,601,600,,,,0.34913,,,True,,2,1224.00000,28211.00000,204455.00000,,,
31989,Rhodobacteraceae,family,1074,1072,379,379,568,568,,,,0.35354,,,True,,2,1224.00000,28211.00000,204455.00000,31989.00000,,
2017483,Virgibacillus phasianinus,species,999,999,364,364,574,574,98620.00000,92071.00000,0.93359,0.36436,1.00000,False,True,1.32424,2,1239.00000,91061.00000,1385.00000,186817.00000,84406.00000,2017483.00000
115553,Halomonas sulfidaeris,species,762,762,360,360,458,458,49447.00000,22080.00000,0.44654,0.47244,0.00000,True,True,0.05198,2,1224.00000,1236.00000,135619.00000,28256.00000,2745.00000,115553.00000
2058174,Antarcticibacterium,genus,914,906,358,355,518,514,,,,0.39183,,,True,,2,976.00000,117743.00000,200644.00000,49546.00000,2058174.00000,
356,Rhizobiales,order,1448,1444,336,336,653,652,,,,0.23269,,,True,,2,1224.00000,28211.00000,356.00000,,,
91347,Enterobacterales,order,1469,1464,314,313,648,646,,,,0.21380,,,True,,2,1224.00000,1236.00000,91347.00000,,,
143222,Salegentibacter,genus,873,872,312,312,476,476,,,,0.35780,,,True,,2,976.00000,117743.00000,200644.00000,49546.00000,143222.00000,
1706369,Cellvibrionales,order,843,841,297,296,462,461,,,,0.35196,,,True,,2,1224.00000,1236.00000,1706369.00000,,,
768503,Cytophagia,class,682,681,289,289,429,429,,,,0.42438,,,True,,2,976.00000,768503.00000,,,,
768507,Cytophagales,order,682,681,289,289,424,423,,,,0.42438,,,True,,2,976.00000,768503.00000,768507.00000,,,
85006,Micrococcales,order,736,736,282,282,410,410,,,,0.38315,,,True,,2,201174.00000,1760.00000,85006.00000,,,
1883416,Halomonas sp. 1513,species,1143,1142,207,207,394,393,96670.00000,75457.00000,0.78056,0.18126,1.00000,False,True,1.28697,2,1224.00000,1236.00000,135619.00000,28256.00000,2745.00000,1883416.00000
119060,Burkholderiaceae,family,1277,1161,204,202,440,430,,,,0.17399,,,True,,2,1224.00000,28216.00000,80840.00000,119060.00000,,
186818,Planococcaceae,family,801,801,202,202,436,436,,,,0.25218,,,True,,2,1239.00000,91061.00000,1385.00000,186818.00000,,
186822,Paenibacillaceae,family,608,607,198,198,340,339,,,,0.32619,,,False,,2,1239.00000,91061.00000,1385.00000,186822.00000,,
182709,Oceanobacillus,genus,680,680,192,192,351,351,9204.00000,8409.00000,0.91362,0.28235,1.00000,False,False,1.42456,2,1239.00000,91061.00000,1385.00000,186817.00000,182709.00000,
506,Alcaligenaceae,family,871,870,190,190,350,350,,,,0.21839,,,False,,2,1224.00000,28216.00000,80840.00000,506.00000,,
2058175,Antarcticibacterium flavum,species,583,578,178,176,273,271,,,,0.30450,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,2058174.00000,2058175.00000
1706371,Cellvibrionaceae,family,453,451,176,175,252,251,,,,0.38803,,,False,,2,1224.00000,1236.00000,1706369.00000,1706371.00000,,
186801,Clostridia,class,626,625,173,173,335,335,,,,0.27680,,,False,,2,1239.00000,186801.00000,,,,
72275,Alteromonadaceae,family,835,831,170,170,355,354,,,,0.20457,,,False,,2,1224.00000,1236.00000,135622.00000,72275.00000,,
59732,Chryseobacterium,genus,520,516,169,167,270,267,,,,0.32364,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,59732.00000,
135613,Chromatiales,order,988,987,167,166,382,381,,,,0.16819,,,False,,2,1224.00000,1236.00000,135613.00000,,,
186826,Lactobacillales,order,802,690,164,164,371,362,,,,0.23768,,,False,,2,1239.00000,91061.00000,186826.00000,,,
84566,Sphingobacteriaceae,family,424,424,164,164,255,255,,,,0.38679,,,False,,2,976.00000,117747.00000,200666.00000,84566.00000,,
117747,Sphingobacteriia,class,424,424,164,164,261,261,,,,0.38679,,,False,,2,976.00000,117747.00000,,,,
200666,Sphingobacteriales,order,424,424,164,164,259,259,,,,0.38679,,,False,,2,976.00000,117747.00000,200666.00000,,,
7711,Chordata,phylum,481,478,160,159,264,263,,,,0.33264,,,False,,2759,7711.00000,,,,,
2585771,Antarcticibacterium sp. PAMC 28998,species,511,506,155,154,238,237,,,,0.30435,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,2058174.00000,2585771.00000
44249,Paenibacillus,genus,480,479,153,153,251,251,2698.00000,2581.00000,0.95663,0.31942,1.00000,False,False,1.52076,2,1239.00000,91061.00000,1385.00000,186822.00000,44249.00000,
2126553,Gramella sp. SH35,species,508,506,151,151,235,234,,,,0.29842,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,292691.00000,2126553.00000
475662,Halomonas beimenensis,species,947,946,150,150,304,304,,,,0.15856,,,False,,2,1224.00000,1236.00000,135619.00000,28256.00000,2745.00000,475662.00000
135614,Xanthomonadales,order,985,982,143,143,373,372,,,,0.14562,,,False,,2,1224.00000,1236.00000,135614.00000,,,
186802,Clostridiales,order,566,565,143,143,281,281,,,,0.25310,,,False,,2,1239.00000,186801.00000,186802.00000,,,
35493,Streptophyta,phylum,725,609,143,142,327,307,,,,0.23317,,,False,,2759,35493.00000,,,,,
1771309,Salinicola tamaricis,species,740,739,139,139,251,251,,,,0.18809,,,False,,2,1224.00000,1236.00000,135619.00000,28256.00000,404432.00000,1771309.00000
404432,Salinicola,genus,750,749,139,139,310,310,,,,0.18558,,,False,,2,1224.00000,1236.00000,135619.00000,28256.00000,404432.00000,
42054,Chromohalobacter,genus,759,758,137,136,330,329,,,,0.17942,,,False,,2,1224.00000,1236.00000,135619.00000,28256.00000,42054.00000,
158080,Chromohalobacter salexigens,species,751,750,136,135,259,258,,,,0.18000,,,False,,2,1224.00000,1236.00000,135619.00000,28256.00000,42054.00000,158080.00000
143223,Salegentibacter salegens,species,599,598,132,132,242,242,,,,0.22074,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,143222.00000,143223.00000
1729720,Salegentibacter sp. T436,species,587,586,132,132,238,237,,,,0.22526,,,False,,2,976.00000,117743.00000,200644.00000,49546.00000,143222.00000,1729720.00000
400634,Lysinibacillus,genus,449,449,126,126,219,219,38694.00000,33686.00000,0.87057,0.28062,1.00000,False,False,1.28899,2,1239.00000,91061.00000,1385.00000,186817.00000,400634.00000,
