taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,31556,31378,30536,30476,31019,30919,2,,,,,,
1224,Proteobacteria,phylum,15564,15421,13260,13237,14226,14182,2,1224,,,,,
1236,Gammaproteobacteria,class,12564,12538,9128,9110,10508,10487,2,1224,1236,,,,
1239,Firmicutes,phylum,8598,8473,7470,7460,7910,7881,2,1239,,,,,
91061,Bacilli,class,8197,8073,7078,7068,7489,7466,2,1239,91061,,,,
1385,Bacillales,order,7899,7775,6691,6681,7131,7111,2,1239,91061,1385,,,
976,Bacteroidetes,phylum,7437,7413,6596,6575,6946,6924,2,976,,,,,
117743,Flavobacteriia,class,6490,6468,5577,5559,5938,5918,2,976,117743,117743,117743,117743,117743
200644,Flavobacteriales,order,6486,6464,5576,5558,5925,5905,2,976,117743,200644,,,
49546,Flavobacteriaceae,family,6470,6448,5547,5529,5890,5870,2,976,117743,200644,49546,,
186817,Bacillaceae,family,6930,6920,5427,5418,6018,6008,2,1239,91061,1385,186817,,
135619,Oceanospirillales,order,6941,6928,4270,4264,5151,5143,2,1224,1236,135619,,,
28256,Halomonadaceae,family,6347,6338,4050,4044,4771,4764,2,1224,1236,135619,28256,,
2745,Halomonas,genus,5352,5347,2696,2694,3516,3513,2,1224,1236,135619,28256,2745,
84406,Virgibacillus,genus,2973,2969,2002,1999,2351,2347,2,1239,91061,1385,186817,84406,
28211,Alphaproteobacteria,class,2850,2846,1146,1146,1775,1773,2,1224,28211,,,,
1386,Bacillus,genus,2640,2637,1117,1117,1636,1634,2,1239,91061,1385,186817,1386,
163877,Virgibacillus necropolis,species,1931,1928,1053,1050,1350,1347,2,1239,91061,1385,186817,84406,163877
201174,Actinobacteria,phylum,1825,1820,1006,1005,1356,1354,2,201174,,,,,
1760,Actinobacteria,class,1767,1762,983,982,1257,1254,2,201174,1760,,,,
135622,Alteromonadales,order,1948,1944,974,973,1270,1269,2,1224,1236,135622,,,
72274,Pseudomonadales,order,3557,3547,951,951,1791,1787,2,1224,1236,72274,,,
135621,Pseudomonadaceae,family,3407,3397,926,926,1676,1672,2,1224,1236,72274,135621,,
28216,Betaproteobacteria,class,3333,3213,893,891,1821,1805,2,1224,28216,,,,
286,Pseudomonas,genus,3331,3322,865,865,1539,1536,2,1224,1236,72274,135621,286,
2651279,Pradoshia,genus,923,921,734,732,804,802,2,1239,91061,1385,186817,2651279,
2651284,Pradoshia sp. D12,species,923,921,734,732,786,784,2,1239,91061,1385,186817,2651279,2651284
267893,Idiomarinaceae,family,805,804,666,666,706,705,2,1224,1236,135622,267893,,
135575,Idiomarina,genus,801,800,664,664,701,701,2,1224,1236,135622,267893,135575,
80840,Burkholderiales,order,2625,2507,663,661,1197,1185,2,1224,28216,80840,,,
2759,Eukaryota,superkingdom,1609,1489,657,654,1105,1063,2759,,,,,,
292691,Gramella,genus,1510,1504,636,636,906,904,2,976,117743,200644,49546,292691,
135577,Idiomarina loihiensis,species,700,699,520,520,574,574,2,1224,1236,135622,267893,135575,135577
237,Flavobacterium,genus,1238,1236,479,478,701,700,2,976,117743,200644,49546,237,
204455,Rhodobacterales,order,1099,1097,383,383,601,600,2,1224,28211,204455,,,
31989,Rhodobacteraceae,family,1074,1072,379,379,568,568,2,1224,28211,204455,31989,,
2017483,Virgibacillus phasianinus,species,999,999,364,364,574,574,2,1239,91061,1385,186817,84406,2017483
115553,Halomonas sulfidaeris,species,762,762,360,360,458,458,2,1224,1236,135619,28256,2745,115553
2058174,Antarcticibacterium,genus,914,906,358,355,518,514,2,976,117743,200644,49546,2058174,
356,Rhizobiales,order,1448,1444,336,336,653,652,2,1224,28211,356,,,
91347,Enterobacterales,order,1469,1464,314,313,648,646,2,1224,1236,91347,,,
143222,Salegentibacter,genus,873,872,312,312,476,476,2,976,117743,200644,49546,143222,
1706369,Cellvibrionales,order,843,841,297,296,462,461,2,1224,1236,1706369,,,
768503,Cytophagia,class,682,681,289,289,429,429,2,976,768503,,,,
768507,Cytophagales,order,682,681,289,289,424,423,2,976,768503,768507,,,
