TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,257627,255471,248124,246146,252584,250542,,,,0.96350,,,True,,2,,,,,,
201174,Actinobacteria,phylum,230534,228571,219067,217211,224438,222531,,,,0.95030,,,True,,2,201174.00000,,,,,
1760,Actinobacteria,class,230378,228415,218279,216430,223542,221643,,,,0.94753,,,True,,2,201174.00000,1760.00000,,,,
85006,Micrococcales,order,223083,221149,184287,182688,199096,197368,,,,0.82609,,,True,,2,201174.00000,1760.00000,85006.00000,,,
1268,Micrococcaceae,family,160674,158903,125170,123786,137394,135873,,,,0.77900,,,True,,2,201174.00000,1760.00000,85006.00000,1268.00000,,
1663,Arthrobacter,genus,151821,150084,114622,113362,126219,124806,13479.00000,11464.00000,0.85051,0.75532,0.00000,True,True,0.24088,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,1663.00000
1461584,Arthrobacter saudimassiliensis,species,141472,139790,107967,106766,116501,115182,95675.00000,80456.00000,0.84093,0.76376,0.00000,True,True,0.19462,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,1461584.00000
85023,Microbacteriaceae,family,54028,53755,26804,26712,35874,35723,,,,0.49692,,,True,,2,201174.00000,1760.00000,85006.00000,85023.00000,,
33882,Microbacterium,genus,42939,42742,18878,18818,25616,25520,130851.00000,113115.00000,0.86446,0.44027,1.00000,False,True,0.93648,2,201174.00000,1760.00000,85006.00000,85023.00000,33882.00000,
85017,Promicromonosporaceae,family,23426,23365,13973,13956,16874,16845,,,,0.59730,,,True,,2,201174.00000,1760.00000,85006.00000,85017.00000,,
157920,Cellulosimicrobium,genus,20025,19994,13298,13281,15276,15255,15704.00000,12039.00000,0.76662,0.66425,0.00000,True,True,0.22771,2,201174.00000,1760.00000,85006.00000,85017.00000,157920.00000,
1239,Firmicutes,phylum,11990,11956,10435,10414,11049,11023,,,,0.87103,,,True,,2,1239.00000,,,,,
91061,Bacilli,class,11349,11319,10042,10021,10528,10503,,,,0.88533,,,True,,2,1239.00000,91061.00000,,,,
1224,Proteobacteria,phylum,24004,23755,9088,9078,14724,14648,,,,0.38215,,,True,,2,1224.00000,,,,,
1385,Bacillales,order,8815,8787,7441,7421,7929,7906,,,,0.84454,,,True,,2,1239.00000,91061.00000,1385.00000,,,
28211,Alphaproteobacteria,class,10587,10547,6187,6184,7885,7867,,,,0.58633,,,True,,2,1224.00000,28211.00000,,,,
356,Rhizobiales,order,8604,8582,5577,5575,6441,6434,,,,0.64962,,,True,,2,1224.00000,28211.00000,356.00000,,,
