taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,257627,255471,248124,246146,252584,250542,2,,,,,,
201174,Actinobacteria,phylum,230534,228571,219067,217211,224438,222531,2,201174,,,,,
1760,Actinobacteria,class,230378,228415,218279,216430,223542,221643,2,201174,1760,,,,
85006,Micrococcales,order,223083,221149,184287,182688,199096,197368,2,201174,1760,85006,,,
1268,Micrococcaceae,family,160674,158903,125170,123786,137394,135873,2,201174,1760,85006,1268,,
1663,Arthrobacter,genus,151821,150084,114622,113362,126219,124806,2,201174,1760,85006,1268,1663,1663
1461584,Arthrobacter saudimassiliensis,species,141472,139790,107967,106766,116501,115182,2,201174,1760,85006,1268,1663,1461584
85023,Microbacteriaceae,family,54028,53755,26804,26712,35874,35723,2,201174,1760,85006,85023,,
33882,Microbacterium,genus,42939,42742,18878,18818,25616,25520,2,201174,1760,85006,85023,33882,
85017,Promicromonosporaceae,family,23426,23365,13973,13956,16874,16845,2,201174,1760,85006,85017,,
157920,Cellulosimicrobium,genus,20025,19994,13298,13281,15276,15255,2,201174,1760,85006,85017,157920,
1239,Firmicutes,phylum,11990,11956,10435,10414,11049,11023,2,1239,,,,,
91061,Bacilli,class,11349,11319,10042,10021,10528,10503,2,1239,91061,,,,
1224,Proteobacteria,phylum,24004,23755,9088,9078,14724,14648,2,1224,,,,,
1385,Bacillales,order,8815,8787,7441,7421,7929,7906,2,1239,91061,1385,,,
28211,Alphaproteobacteria,class,10587,10547,6187,6184,7885,7867,2,1224,28211,,,,
356,Rhizobiales,order,8604,8582,5577,5575,6441,6434,2,1224,28211,356,,,
45401,Hyphomicrobiaceae,family,5498,5495,4512,4512,4813,4812,2,1224,28211,356,45401,,
46913,Devosia,genus,5317,5315,4415,4415,4688,4688,2,1224,28211,356,45401,46913,
2499144,Devosia sp. 1566,species,5022,5021,4116,4116,4382,4382,2,1224,28211,356,45401,46913,2499144
186817,Bacillaceae,family,4771,4754,2713,2706,3520,3510,2,1239,91061,1385,186817,,
85016,Cellulomonadaceae,family,11100,11057,2495,2490,4944,4930,2,201174,1760,85006,85016,,
1707,Cellulomonas,genus,9231,9194,2405,2401,3940,3929,2,201174,1760,85006,85016,1707,
186826,Lactobacillales,order,2942,2939,2374,2374,2578,2577,2,1239,91061,186826,,,
81852,Enterococcaceae,family,2507,2507,2193,2193,2300,2300,2,1239,91061,186826,81852,,
1350,Enterococcus,genus,2458,2458,2183,2183,2274,2274,2,1239,91061,186826,81852,1350,
1236,Gammaproteobacteria,class,11951,11752,2042,2040,4919,4884,2,1224,1236,,,,
186822,Paenibacillaceae,family,2669,2664,2006,2003,2202,2199,2,1239,91061,1385,186822,,
1354,Enterococcus hirae,species,2218,2218,1970,1970,2048,2048,2,1239,91061,186826,81852,1350,1354
44249,Paenibacillus,genus,2490,2485,1912,1909,2074,2071,2,1239,91061,1385,186822,44249,
145358,Bogoriellaceae,family,5050,5026,1797,1795,2620,2612,2,201174,1760,85006,145358,,
154116,Georgenia,genus,5050,5026,1797,1795,2484,2478,2,201174,1760,85006,145358,154116,
91347,Enterobacterales,order,8706,8543,1688,1687,3369,3351,2,1224,1236,91347,,,
2585135,Georgenia sp. Z294,species,3274,3264,1595,1593,1917,1914,2,201174,1760,85006,145358,154116,2585135
543,Enterobacteriaceae,family,8409,8246,1573,1572,3157,3143,2,1224,1236,91347,543,,
2062,Streptomycetaceae,family,14498,14396,1442,1438,5062,5028,2,201174,1760,85011,2062,2062,2062
85011,Streptomycetales,order,14492,14390,1442,1438,5676,5640,2,201174,1760,85011,,,
1883,Streptomyces,genus,14070,13970,1348,1344,4346,4317,2,201174,1760,85011,2062,1883,
85007,Corynebacteriales,order,16014,15885,1333,1331,6104,6061,2,201174,1760,85007,,,
1710,Cellulosimicrobium cellulans,species,19078,19049,1312,1312,8240,8229,2,201174,1760,85006,85017,157920,1710
186818,Planococcaceae,family,2838,2825,1285,1279,1912,1903,2,1239,91061,1385,186818,,
2566013,Cellulomonas sp. Z28,species,3714,3706,1106,1104,1608,1605,2,201174,1760,85006,85016,1707,2566013
400634,Lysinibacillus,genus,2379,2367,1007,1003,1456,1450,2,1239,91061,1385,186817,400634,
648800,Solibacillus,genus,1803,1794,906,902,1204,1199,2,1239,91061,1385,186818,648800,
1386,Bacillus,genus,2183,2176,776,776,1196,1194,2,1239,91061,1385,186817,1386,
85009,Propionibacteriales,order,11784,11696,774,770,4269,4238,2,201174,1760,85009,,,
76853,Solibacillus silvestris,species,1334,1330,710,709,851,850,2,1239,91061,1385,186818,648800,76853
1980001,Cellulosimicrobium sp. TH-20,species,17515,17488,708,707,7448,7437,2,201174,1760,85006,85017,157920,1980001
33877,Agromyces,genus,8601,8560,644,643,2385,2376,2,201174,1760,85006,85023,33877,
2759,Eukaryota,superkingdom,9396,9215,568,567,4691,4626,2759,,,,,,
57493,Kocuria,genus,11226,11097,561,561,3188,3155,2,201174,1760,85006,1268,57493,
36805,Microbacterium aurum,species,6464,6439,554,552,1455,1449,2,201174,1760,85006,85023,33882,36805
85015,Nocardioidaceae,family,8583,8530,538,535,2476,2462,2,201174,1760,85009,85015,,
912630,Microbacterium sp. LKL04,species,5932,5898,537,537,1417,1412,2,201174,1760,85006,85023,33882,912630
