"","host_sp","superkingdom","class_breakdown (class: percentage)"
"1","Bison bison (modern)","Archaea","Methanobacteria: 9.80405405131862"
"2","Bison bison (modern)","Bacteria","Bacilli: 41.7661017632768, Clostridia: 13.8057293426374, Bacteroidia: 5.16340017472373, Actinobacteria: 2.37515322215077, Coriobacteriia: 1.01456327627627"
"3","Bison bison (modern)","Eukaryota","Mammalia: 20.8942987039176, Liliopsida: 1.50098337920512"
"4","Bison sp. (paleo)","Bacteria","Actinobacteria: 50.2475415408528, Alphaproteobacteria: 27.7168393701689, Bacilli: 15.2417820609872, Betaproteobacteria: 4.92737352878815, Gammaproteobacteria: 1.22227238341435"
"5","Bison sp. (paleo)","Eukaryota",""
"6","Bradypus variegatus","Archaea","Methanobacteria: 7.86356172797479"
"7","Bradypus variegatus","Bacteria","Verrucomicrobiae: 35.6211340523687, Bacteroidia: 34.8917569873554, Clostridia: 7.77379890373865, Gammaproteobacteria: 6.72751546628826, Lentisphaeria: 2.62788343021789, Bacilli: 1.13046453383408"
"8","Bradypus variegatus","Eukaryota",""
"9","Loxodonta africana","Archaea",""
"10","Loxodonta africana","Bacteria","Gammaproteobacteria: 29.6766544410051, Bacteroidia: 9.85580896094494, Betaproteobacteria: 9.50230868189071, Bacilli: 8.79579126804841, Clostridia: 5.53523093790376, Flavobacteriia: 3.68363698604428, Verrucomicrobiae: 3.15945721081496, Alphaproteobacteria: 2.41124629391763, Actinobacteria: 2.24737364189992, Spirochaetia: 1.26209600069639, Mollicutes: 1.00301422191074"
"11","Loxodonta africana","Eukaryota","Mammalia: 15.3137293796446, Liliopsida: 1.02227154113931"
"12","Mammuthus columbi","Bacteria","Actinobacteria: 52.6997169068343, Alphaproteobacteria: 38.1542309407305, Betaproteobacteria: 4.54703616925521, Bacilli: 2.27379838877561, Clostridia: 1.12849613778113"
"13","Mammuthus columbi","Eukaryota",""
"14","Nothrotheriops shastensis","Bacteria","Actinobacteria: 40.3807932046811, Bacilli: 37.3205659781009, Gammaproteobacteria: 10.1379750466907, Flavobacteriia: 5.75608300596025, Alphaproteobacteria: 2.30800562861511, Betaproteobacteria: 1.18831866926183"
"15","Nothrotheriops shastensis","Eukaryota",""
